uniqueID,sample,year,sitecode,species_4code_IBP,territories,orig_site_name,revised_site_name,dominant_ELC_site_type,dominant_ELC_site_code,site_size_ha,lat_dd,long_dd,siteform,sp_common_name_uppercase_IBP,sp_scientific_name_IBP,species_4code_IBP,species_6code_IBP,species_4code_LPBBC,BOTW_reference,sp_weight_g,weight_reference,habitat_guild_BOTW,food_item_BOTW,nest_guild_BOTW,forage_behavior_BOTW,conservation_status_BOTW,food_foraging_guild_degraaf,habitat_foraging_guild_degraaf,behaviour_foraging_guild_degraaf,sp_common_name_uppercase_NHIC,sp_scientific_name_NHIC,sp_common_name_lowercase_NHIC,sp_common_name_noun_NHIC,sp_common_name_sentence_NHIC,sp_author_NHIC,sp_french_name_NHIC,sp_common_name_AOS,sp_french_name_AOS,sp_order_AOS,sp_family_AOS,sp_subfamily_name_AOS,sp_genus_AOS,sp_scientific_name_AOS,status_introduced_AOS,sp_common_name_PFN,sp_Ojibwe_name_PFN,sp_name_meaning_PFN,sp_latin_name_PFN,Breeding.Biome,Winter.Biome,Family,bird.group,Migrate,AI,native,popest,popestlci,popestuci,first_year_popest,last_year_popest,Pop.source,Trajectory_data_source,Trajectory_firstyear,Trajectory_lastyear,Loss_med,Loss_lci,Loss_uci,Loss_lqrt,Loss_uqrt,PopUsCa,PopLC95,PopUC95,TimeAdj.meanlog,TimeAdj.sdlog,Distance Adj.,Pair Adj.
1991_BGGR_TRES,1991_BGGR,1991,BGGR,TRES,0.25,Blue Grass Grassland,Bluegrass - Milkweed Grassland,Open Sand Barren and Dune,SDO,13.7,42.54683528,-80.15939417,Terrestrial,Tree Swallow,Tachycineta bicolor,TRES,TACBIC,TRES,"Winkler, D. W., Hallinger, K. K., Ardia, D. R., Robertson, R. J., Stutchbury, B. J., & Cohen, R. R. (2020). Tree Swallow (Tachycineta bicolor), version 1.0. Birds of the World. https://doi.org/10.2173/bow.treswa.01species_shared.bow.project_name",21.55,Long Point Bird Observatory,lakes and ponds,insects,cavity,aerial forager,low concern,Insectivore,air,screener,Tree Swallow,Tachycineta bicolor,tree swallow,tree swallow,Tree swallow,"(Vieillot, 1808)",Hirondelle bicolore,Tree Swallow,Hirondelle bicolore,Passeriformes,Hirundinidae,Hirundininae,Tachycineta,Tachycineta bicolor,0,0,0,0,0,Habitat Generalist,Widespread,Hirundinidae,landbird,M,AI,native,18581775,16732180,20563777,2006,2015,PIF0615,BBS7017,1970,2017,12732185.49,10394535.39,15211117.96,11947497.3,13571231.65,18581775.27,16732180,20563777,0.136023938,0.016419183,200,1.75
1991_BGGR_RWBL,1991_BGGR,1991,BGGR,RWBL,14,Blue Grass Grassland,Bluegrass - Milkweed Grassland,Open Sand Barren and Dune,SDO,13.7,42.54683528,-80.15939417,Terrestrial,Red-winged Blackbird,Agelaius phoeniceus,RWBL,AGEPHO,RWBL,"Yasukawa, K., & Searcy, W. A. (2020). Red-winged Blackbird (Agelaius phoeniceus), version 1.0. Birds of the World. https://doi.org/10.2173/bow.rewbla.01species_shared.bow.project_name",58.02,Birds of the World,marshes,insects,shrub,ground forager,low concern,Omnivore,ground,forage,Red-winged Blackbird,Agelaius phoeniceus,red-winged blackbird,red-winged blackbird,Red-winged blackbird,"(Linnaeus, 1766)",Carouge à épaulettes,Red-winged Blackbird,Carouge à épaulettes,Passeriformes,Icteridae,Agelaiinae,Agelaius,Agelaius phoeniceus,0,0,0,0,0,Habitat Generalist,Temperate North America,Icteridae,landbird,M,other,native,172973570,154908749,196698929,2006,2015,PIF0615,BBS7017,1970,2017,92754827.79,77318657.23,109047181,87286801.73,98222647.17,172973569.9,154908748.5,196698928.5,0.294722634,0.048341194,200,1.25
1991_BGGR_BANS,1991_BGGR,1991,BGGR,BANS,4,Blue Grass Grassland,Bluegrass - Milkweed Grassland,Open Sand Barren and Dune,SDO,13.7,42.54683528,-80.15939417,Terrestrial,Bank Swallow,Riparia riparia,BANS,RIPRIP,BANS,"Garrison, B. A., & Turner, A. (2020). Bank Swallow (Riparia riparia), version 1.0. Birds of the World. https://doi.org/10.2173/bow.banswa.01species_shared.bow.project_name",14,Long Point Bird Observatory,lakes and ponds,insects,burrow,aerial forager,common bird in steep decline,Insectivore,air,screener,Bank Swallow,Riparia riparia,bank swallow,bank swallow,Bank swallow,"(Linnaeus, 1758)",Hirondelle de rivage,Bank Swallow,Hirondelle de rivage,Passeriformes,Hirundinidae,Hirundininae,Riparia,Riparia riparia,0,0,0,0,0,Habitat Generalist,South America,Hirundinidae,landbird,M,AI,native,7940368,6125188,10752527,2006,2015,PIF0615,BBS7017,1970,2017,56359017.02,39379185.34,73792278.98,50452681.75,62176291.44,7940368.473,6125187.5,10752526.5,0.642518351,0.054160354,200,1
1991_BGGR_FISP,1991_BGGR,1991,BGGR,FISP,4,Blue Grass Grassland,Bluegrass - Milkweed Grassland,Open Sand Barren and Dune,SDO,13.7,42.54683528,-80.15939417,Terrestrial,Field Sparrow,Spizella pusilla,FISP,SPIPUS,FISP,"Carey, M., Burhans, D. E., & Nelson, D. A. (2020). Field Sparrow (Spizella pusilla), version 1.0. Birds of the World. https://doi.org/10.2173/bow.fiespa.01species_shared.bow.project_name",12.04,Long Point Bird Observatory,scrub,insects,ground,ground forager,common bird in steep decline,Omnivore,ground,forage,Field Sparrow,Spizella pusilla,field sparrow,field sparrow,Field sparrow,"(Wilson, 1810)",Bruant des champs,Field Sparrow,Bruant des champs,Passeriformes,Passerellidae,0,Spizella,Spizella pusilla,0,0,0,0,0,Eastern Forest,Temperate North America,Passerellidae,landbird,M,other,native,9333611,8343751,10393211,2006,2015,PIF0615,BBS7017,1970,2017,16311718.95,14318722.81,18466928.12,15619987.63,17003536.32,9333610.712,8343751,10393211,0.080762136,0.009480465,200,2
1991_BGGR_EAME,1991_BGGR,1991,BGGR,EAME,2.5,Blue Grass Grassland,Bluegrass - Milkweed Grassland,Open Sand Barren and Dune,SDO,13.7,42.54683528,-80.15939417,Terrestrial,Eastern Meadowlark,Sturnella magna,EAME,STUMAG,EAME,"Jaster, L. A., Jensen, W. E., Lanyon, W. E., & Mlodinow, S. G. (2022). Eastern Meadowlark (Sturnella magna), version 1.1. Birds of the World. https://doi.org/10.2173/bow.easmea.01.1species_shared.bow.project_name",84.2,Long Point Bird Observatory,grasslands,insects,ground,ground forager,common bird in steep decline,Insectivore,ground,gleaner,Eastern Meadowlark,Sturnella magna,eastern meadowlark,eastern meadowlark,Eastern meadowlark,"(Linnaeus, 1758)",Sturnelle des prés,Eastern Meadowlark,Sturnelle des prés,Passeriformes,Icteridae,Sturnellinae,Sturnella,Sturnella magna,0,0,0,0,0,Grassland,Temperate North America,Icteridae,landbird,M,other,native,24431724,21928274,27309341,2006,2015,PIF0615,BBS7017,1970,2017,73964321.47,65250234.14,83087759,70911710.84,76898314.22,24431724.27,21928273.5,27309340.5,0.245182991,0.017067785,200,1.75
1991_BGGR_SOSP,1991_BGGR,1991,BGGR,SOSP,2.5,Blue Grass Grassland,Bluegrass - Milkweed Grassland,Open Sand Barren and Dune,SDO,13.7,42.54683528,-80.15939417,Terrestrial,Song Sparrow,Melospiza melodia,SOSP,MELMEL,SOSP,"Arcese, P., Sogge, M. K., Marr, A. B., & Patten, M. A. (2020). Song Sparrow (Melospiza melodia), version 1.0. Birds of the World. https://doi.org/10.2173/bow.sonspa.01species_shared.bow.project_name",20.68,Birds of the World,open woodlands,insects,shrub,ground forager,low concern,Omnivore,lower-canopyforager,ground,Song Sparrow,Melospiza melodia,song sparrow,song sparrow,Song sparrow,"(Wilson, 1810)",Bruant chanteur,Song Sparrow,Bruant chanteur,Passeriformes,Passerellidae,0,Melospiza,Melospiza melodia,0,0,0,0,0,Habitat Generalist,Temperate North America,Passerellidae,landbird,M,other,native,126053605,118934257,133938545,2006,2015,PIF0615,BBS7017,1970,2017,55082452.28,44568048.84,65846626.07,51610368.03,58699961.08,126053605,118934257,133938545,0.377871011,0.025177923,125,2
1991_BGGR_KILL,1991_BGGR,1991,BGGR,KILL,2,Blue Grass Grassland,Bluegrass - Milkweed Grassland,Open Sand Barren and Dune,SDO,13.7,42.54683528,-80.15939417,Terrestrial,Killdeer,Charadrius vociferus,KILL,CHAVOC,KILL,"Jackson, B. J., & Jackson, J. A. (2020). Killdeer (Charadrius vociferus), version 1.0. Birds of the World. https://doi.org/10.2173/bow.killde.01species_shared.bow.project_name",58.63,Long Point Bird Observatory,grasslands,insects,ground,ground forager,low concern,Insectivore,ground,gleaner,Killdeer,Charadrius vociferus,killdeer,killdeer,Killdeer,"(Linnaeus, 1758)",Pluvier kildir,Killdeer,Pluvier kildir,Charadriiformes,Charadriidae,Charadriinae,Charadrius,Charadrius vociferus,0,Killdeer,Mus-ko-de'-chi-ji'-twish-ki-wen',big prairie sandpiper,Oxyechus vociferus,Habitat Generalist,Widespread,Charadriidae,shorebird,M,other,native,2000000,800000,5000000,2011,2013,Shoreb12,BBS7017,1970,2017,1040696.862,0.561577308,2162056.544,666954.9784,1415029.206,Missing,0,0,0,0,0,0
1991_BGGR_BRTH,1991_BGGR,1991,BGGR,BRTH,1,Blue Grass Grassland,Bluegrass - Milkweed Grassland,Open Sand Barren and Dune,SDO,13.7,42.54683528,-80.15939417,Terrestrial,Brown Thrasher,Toxostoma rufum,BRTH,TOXRUF,BRTH,"Cavitt, J. F., & Haas, C. A. (2020). Brown Thrasher (Toxostoma rufum), version 1.0. Birds of the World. https://doi.org/10.2173/bow.brnthr.01species_shared.bow.project_name",68.09,Birds of the World,scrub,omnivore,shrub,ground forager,low concern,Omnivore,ground,forager,Brown Thrasher,Toxostoma rufum,brown thrasher,brown thrasher,Brown thrasher,"(Linnaeus, 1758)",Moqueur roux,Brown Thrasher,Moqueur roux,Passeriformes,Mimidae,0,Toxostoma,Toxostoma rufum,0,0,0,0,0,Eastern Forest,Temperate North America,Mimidae,landbird,M,other,native,6168180,5625720,6771313,2006,2015,PIF0615,BBS7017,1970,2017,3614005.429,3148640.635,4104648.468,3456274.089,3781074.187,6168179.85,5625720,6771313,0.141308812,0.007605114,200,1.5
1991_BGGR_CHSP,1991_BGGR,1991,BGGR,CHSP,1,Blue Grass Grassland,Bluegrass - Milkweed Grassland,Open Sand Barren and Dune,SDO,13.7,42.54683528,-80.15939417,Terrestrial,Chipping Sparrow,Spizella passerina,CHSP,SPIPAS,CHSP,"Middleton, A. L. (2020). Chipping Sparrow (Spizella passerina), version 1.0. Birds of the World. https://doi.org/10.2173/bow.chispa.01species_shared.bow.project_name",12.18,Long Point Bird Observatory,open woodlands,seeds,shrub,ground forager,low concern,Omnivore,ground,forage,Chipping Sparrow,Spizella passerina,chipping sparrow,chipping sparrow,Chipping sparrow,"(Bechstein, 1798)",Bruant familier,Chipping Sparrow,Bruant familier,Passeriformes,Passerellidae,0,Spizella,Spizella passerina,0,0,0,0,0,Forest Generalist,Temperate North America,Passerellidae,landbird,M,other,native,230957566,213377234,249914852,2006,2015,PIF0615,BBS7017,1970,2017,79503437.13,60736278.11,98183879.99,72857128.71,86031359.57,230957566,213377233.5,249914851.5,0.695273332,0.023465322,125,2
1991_BGGR_EUST,1991_BGGR,1991,BGGR,EUST,1,Blue Grass Grassland,Bluegrass - Milkweed Grassland,Open Sand Barren and Dune,SDO,13.7,42.54683528,-80.15939417,Terrestrial,European Starling,Sturnus vulgaris,EUST,STUVUL,EUST,"Cabe, P. R. (2020). European Starling (Sturnus vulgaris), version 1.0. Birds of the World. https://doi.org/10.2173/bow.eursta.01species_shared.bow.project_name",77.07,Birds of the World,towns,insects,cavity,ground forager,low concern,Omnivore,ground,forager,European Starling,Sturnus vulgaris,european starling,european starling,European starling,"(Linnaeus, 1758)",Étourneau sansonnet,European Starling,Étourneau sansonnet,Passeriformes,Sturnidae,0,Sturnus,Sturnus vulgaris,I,0,0,0,0,Introduced,Introduced,Sturnidae,other,Introduced,other,Introduced,93371907,85941592,102256039,2006,2015,PIF0615,BBS7017,1970,2017,83350978.13,72594864.68,94770107,79563581.94,87124508.54,93371906.9,85941592,102256038.5,0.455644428,0.068393305,200,1
