uniqueID,sample,year,sitecode,species_4code_IBP,territories
1991_BGGR_TRES,1991_BGGR,1991,BGGR,TRES,0.25
1991_BGGR_RWBL,1991_BGGR,1991,BGGR,RWBL,14
1991_BGGR_BANS,1991_BGGR,1991,BGGR,BANS,4
1991_BGGR_FISP,1991_BGGR,1991,BGGR,FISP,4
1991_BGGR_EAME,1991_BGGR,1991,BGGR,EAME,2.5
1991_BGGR_SOSP,1991_BGGR,1991,BGGR,SOSP,2.5
1991_BGGR_KILL,1991_BGGR,1991,BGGR,KILL,2
1991_BGGR_BRTH,1991_BGGR,1991,BGGR,BRTH,1
1991_BGGR_CHSP,1991_BGGR,1991,BGGR,CHSP,1
1991_BGGR_EUST,1991_BGGR,1991,BGGR,EUST,1
1991_BGGR_EAKI,1991_BGGR,1991,BGGR,EAKI,0.5
1991_DCJS_TRES,1991_DCJS,1991,DCJS,TRES,6
1991_DCJS_CHSP,1991_DCJS,1991,DCJS,CHSP,5.5
1991_DCJS_NHWR,1991_DCJS,1991,DCJS,NHWR,4.5
1991_DCJS_SOSP,1991_DCJS,1991,DCJS,SOSP,3
1991_DCJS_EUST,1991_DCJS,1991,DCJS,EUST,2
1991_DCJS_AMCR,1991_DCJS,1991,DCJS,AMCR,1
1991_DCJS_FISP,1991_DCJS,1991,DCJS,FISP,1
1991_DCJS_NOFL,1991_DCJS,1991,DCJS,NOFL,1
1991_DCJS_NOMO,1991_DCJS,1991,DCJS,NOMO,1
1991_DCJS_RWBL,1991_DCJS,1991,DCJS,RWBL,1
1991_DCSD_RWBL,1991_DCSD,1991,DCSD,RWBL,4
1991_DCSD_EAKI,1991_DCSD,1991,DCSD,EAKI,3.5
1991_DCSD_TRES,1991_DCSD,1991,DCSD,TRES,3.5
1991_DCSD_CHSP,1991_DCSD,1991,DCSD,CHSP,2
1991_DCSD_FISP,1991_DCSD,1991,DCSD,FISP,1
1991_DCSD_NHWR,1991_DCSD,1991,DCSD,NHWR,1
1991_DCSD_BAOR,1991_DCSD,1991,DCSD,BAOR,0.5
1991_IDSS_TRES,1991_IDSS,1991,IDSS,TRES,6
1991_IDSS_CHSP,1991_IDSS,1991,IDSS,CHSP,5
1991_IDSS_EUST,1991_IDSS,1991,IDSS,EUST,5
1991_IDSS_SOSP,1991_IDSS,1991,IDSS,SOSP,5
1991_IDSS_EAKI,1991_IDSS,1991,IDSS,EAKI,3
1991_IDSS_KILL,1991_IDSS,1991,IDSS,KILL,3
1991_IDSS_RWBL,1991_IDSS,1991,IDSS,RWBL,2.5
1991_IDSS_NOMO,1991_IDSS,1991,IDSS,NOMO,2
1991_IDSS_BOBO,1991_IDSS,1991,IDSS,BOBO,1
1991_IDSS_MALL,1991_IDSS,1991,IDSS,MALL,1
1991_RARO_GHOW,1991_RARO,1991,RARO,GHOW,0.25
1991_RARO_RWBL,1991_RARO,1991,RARO,RWBL,18
1991_RARO_SOSP,1991_RARO,1991,RARO,SOSP,14
1991_RARO_NHWR,1991_RARO,1991,RARO,NHWR,11.5
1991_RARO_YEWA,1991_RARO,1991,RARO,YEWA,9.5
1991_RARO_EAWP,1991_RARO,1991,RARO,EAWP,9
1991_RARO_COYE,1991_RARO,1991,RARO,COYE,7
1991_RARO_TRES,1991_RARO,1991,RARO,TRES,7
1991_RARO_BAOR,1991_RARO,1991,RARO,BAOR,6
1991_RARO_EUST,1991_RARO,1991,RARO,EUST,5.5
1991_RARO_EAKI,1991_RARO,1991,RARO,EAKI,5
1991_RARO_COGR,1991_RARO,1991,RARO,COGR,4.5
1991_RARO_BHCO,1991_RARO,1991,RARO,BHCO,3.5
1991_RARO_REVI,1991_RARO,1991,RARO,REVI,3
1991_RARO_FISP,1991_RARO,1991,RARO,FISP,2.5
1991_RARO_AGOL,1991_RARO,1991,RARO,AGOL,2
1991_RARO_DOWO,1991_RARO,1991,RARO,DOWO,2
1991_RARO_GCFL,1991_RARO,1991,RARO,GCFL,2
1991_RARO_BCCH,1991_RARO,1991,RARO,BCCH,1.5
1991_RARO_NOFL,1991_RARO,1991,RARO,NOFL,1.5
1991_RARO_AMWO,1991_RARO,1991,RARO,AMWO,1
1991_RARO_BLJA,1991_RARO,1991,RARO,BLJA,1
1991_RARO_EATO,1991_RARO,1991,RARO,EATO,1
1991_RARO_GRCA,1991_RARO,1991,RARO,GRCA,1
1991_RARO_HAWO,1991_RARO,1991,RARO,HAWO,1
1991_RARO_WAVI,1991_RARO,1991,RARO,WAVI,1
1991_ROIS_RWBL,1991_ROIS,1991,ROIS,RWBL,28
1991_ROIS_SOSP,1991_ROIS,1991,ROIS,SOSP,19.5
1991_ROIS_EAWP,1991_ROIS,1991,ROIS,EAWP,14.5
1991_ROIS_NHWR,1991_ROIS,1991,ROIS,NHWR,12.5
1991_ROIS_YEWA,1991_ROIS,1991,ROIS,YEWA,11.5
1991_ROIS_COYE,1991_ROIS,1991,ROIS,COYE,9
1991_ROIS_TRES,1991_ROIS,1991,ROIS,TRES,8
1991_ROIS_EAKI,1991_ROIS,1991,ROIS,EAKI,7.5
1991_ROIS_EUST,1991_ROIS,1991,ROIS,EUST,7.5
1991_ROIS_BAOR,1991_ROIS,1991,ROIS,BAOR,5.5
1991_ROIS_COGR,1991_ROIS,1991,ROIS,COGR,5.5
1991_ROIS_WAVI,1991_ROIS,1991,ROIS,WAVI,5.5
1991_ROIS_AGOL,1991_ROIS,1991,ROIS,AGOL,4
