sp_common_name_uppercase_IBP,sp_scientific_name_IBP,species_4code_IBP,species_6code_IBP,species_4code_LPBBC,BOTW_citation,BOTW_reference,sp_weight_g,weight_reference,habitat_guild_BOTW,food_item_BOTW,nest_guild_BOTW,forage_behavior_BOTW,conservation_status_BOTW,food_foraging_guild_degraaf,habitat_foraging_guild_degraaf,behaviour_foraging_guild_degraaf,sp_common_name_uppercase_NHIC,sp_scientific_name_NHIC,sp_common_name_lowercase_NHIC,sp_common_name_noun_NHIC,sp_common_name_sentence_NHIC,sp_author_NHIC,sp_french_name_NHIC,sp_common_name_AOS,sp_french_name_AOS,sp_order_AOS,sp_family_AOS,sp_subfamily_name_AOS,sp_genus_AOS,sp_scientific_name_AOS,status_introduced_AOS,sp_common_name_PFN,sp_Ojibwe_name_PFN,sp_name_meaning_PFN,sp_latin_name_PFN,Breeding.Biome,Winter.Biome,Family,bird.group,Migrate,AI,native,popest,popestlci,popestuci,first_year_popest,last_year_popest,Pop.source,Trajectory_data_source,Trajectory_firstyear,Trajectory_lastyear,Loss_med,Loss_lci,Loss_uci,Loss_lqrt,Loss_uqrt,PopUsCa,PopLC95,PopUC95,TimeAdj.meanlog,TimeAdj.sdlog,Distance Adj.,Pair Adj.
American Black Duck,Anas rubripes,ABDU,ANARUB,ABDU,"Longcore et al., 2020","Longcore, J. R., McAuley, D. G., Hepp, G. R., & Rhymer, J. M. (2020). American Black Duck (Anas rubripes), version 1.0. Birds of the World. https://doi.org/10.2173/bow.ambduc.01species_shared.bow.project_name",1204,Birds of the World,lakes and ponds,insects,ground,dabbler,low concern,Omnivore,water,dabbler,American Black Duck,Anas rubripes,american black duck,American black duck,American black duck,"(Brewster, 1902)",Canard noir,American Black Duck,Canard noir,Anseriformes,Anatidae,Anatinae,Anas,Anas rubripes,,,,,,Wetland,Temperate North America,Anatidae,waterfowl,M,other,native,583500,500200,666800,2013,2017,FWS1317,BBS7017,1970,2017,340512.1467,177868.2311,505661.5542,285368.6385,396500.9146,Missing,,,,,,
American Goldfinch,Spinus tristis,AGOL,SPITRI,AMGO,"McGraw and Middleton, 2020","McGraw, K. J., & Middleton, A. L. (2020). American Goldfinch (Spinus tristis), version 1.0. Birds of the World. https://doi.org/10.2173/bow.amegfi.01species_shared.bow.project_name",12.84,Long Point Bird Observatory,open woodlands,seeds,shrub,foliage gleaner,low concern,Omnivore,lower-canopy,forager,American Goldfinch,Spinus tristis,american goldfinch,American goldfinch,American goldfinch,"(Linnaeus, 1758)",Chardonneret jaune,American Goldfinch,Chardonneret jaune,Passeriformes,Fringillidae,Carduelinae,Spinus,Spinus tristis,,,,,,Forest Generalist,Temperate North America,Fringillidae,landbird,M,other,native,44092850,41554624,46767583,2006,2015,PIF0615,BBS7017,1970,2017,2743106.969,-883054.4085,6269189.322,1499409.077,3953984.736,44092849.71,41554623.5,46767582.5,0.311311237,0.018869851,125,1.25
American Goshawk,Accipiter atricapillus,AGOS,ACCATR,NOGO,"Squires and Reynolds, 2023","Squires, J. R., & Reynolds, R. T. (2023). American Goshawk (Accipiter atricapillus), version 1.1. Birds of the World. https://doi.org/10.2173/bow.norgos.01.1species_shared.bow.project_name",1050.75,Birds of the World,forests,birds,tree,aerial dive,low concern,Carnivore,air,hawker,American Goshawk,Accipiter atricapillus,american goshawk,American goshawk,American goshawk,"(Wilson, 1812)",Autour des palombes,American Goshawk,Autour d’Amérique,Accipitriformes,Accipitridae,Accipitrinae,Accipiter,Accipiter atricapillus,,,,,,Forest Generalist,Temperate North America,Accipitridae,landbird,M,other,native,205103,144935,279609,2006,2015,PIF0615,BBS7017,1970,2017,-48108.77065,-93351.63157,-16110.06874,-61841.97042,-35855.55396,Missing,,,,,,
American Bittern,Botaurus lentiginosus,AMBI,BOTLEN,AMBI,"Lowther et al., 2020","Lowther, P. E., Poole, A. F., Gibbs, J. P., Melvin, S. M., & Reid, F. A. (2020). American Bittern (Botaurus lentiginosus), version 1.0. Birds of the World. https://doi.org/10.2173/bow.amebit.01species_shared.bow.project_name",748.5,Birds of the World,marshes,fish,ground,stalking,low concern,Carnivore,water,ambusher,American Bittern,Botaurus lentiginosus,american bittern,American bittern,American bittern,"(Rackett, 1813)",Butor d'Amérique,American Bittern,Butor d'Amérique,Pelecaniformes,Ardeidae,,Botaurus,Botaurus lentiginosus,,American Bittern,Mosh-ka-was-shi,"Coming up from under. Thought to make its cry while holding its head under water, so that the sound has to come up out of the water ",Botaurus lentiginosus,Wetland,Temperate North America,Ardeidae,waterbird,M,other,native,2507797,2005616,3117498,2006,2015,PIF0615,BBS7017,1970,2017,715897.4263,173483.1062,1234860.5,529610.1663,894811.8024,2507797.365,2005615.884,3117498.263,0.527650945,0.011264365,200,2
American Crow,Corvus brachyrhynchos,AMCR,CORBRA,AMCR,"Verbeek and Caffrey, 2021","Verbeek, N. A., & Caffrey, C. (2021). American Crow (Corvus brachyrhynchos), version 1.1. Birds of the World. https://doi.org/10.2173/bow.amecro.01.1species_shared.bow.project_name",506,Birds of the World,open woodlands,omnivore,tree,ground forager,low concern,Omnivore,ground,forager,American Crow,Corvus brachyrhynchos,american crow,American crow,American crow,"(Brehm, 1822)",Corneille d'Amérique,American Crow,Corneille d'Amérique,Passeriformes,Corvidae,,Corvus,Corvus brachyrhynchos,,,,,,Habitat Generalist,Temperate North America,Corvidae,landbird,M,other,native,28047630,26447403,29639378,2006,2015,PIF0615,BBS7017,1970,2017,-837552.9815,-2431116.019,734755.6257,-1392337.978,-310652.9783,28047630.47,26447403,29639378,0.509424135,0.035825627,400,1.75
American Kestrel,Falco sparverius,AMKE,FALSPA,AMKE,"Smallwood and Bird, 2020","Smallwood, J. A., & Bird, D. M. (2020). American Kestrel (Falco sparverius), version 1.0. Birds of the World. https://doi.org/10.2173/bow.amekes.01species_shared.bow.project_name",115.5,Long Point Bird Observatory,grasslands,small animals,cavity,aerial dive,low concern,Insectivore,air,hawker,American Kestrel,Falco sparverius,american kestrel,American kestrel,American kestrel,"(Linnaeus, 1758)",Crécerelle d'Amérique,American Kestrel,Crécerelle d'Amérique,Falconiformes,Falconidae,Falconinae,Falco,Falco sparverius,,,,,,Habitat Generalist,Widespread,Falconidae,landbird,M,other,native,2827776,2564206,3116508,2006,2015,PIF0615,BBS7017,1970,2017,1878753.97,1595456.874,2174949.979,1781703.362,1978650.543,2827776.011,2564205.5,3116507.5,0.290453514,0.006693885,200,1.25
American Redstart,Setophaga ruticilla,AMRE,SETRUT,AMRE,"Sherry et al., 2020","Sherry, T. W., Holmes, R. T., Pyle, P., & Patten, M. A. (2020). American Redstart (Setophaga ruticilla), version 1.0. Birds of the World. https://doi.org/10.2173/bow.amered.01species_shared.bow.project_name",8.29,Long Point Bird Observatory,forests,insects,tree,foliage gleaner,low concern,Insectivore,lower-canopy,gleaner,American Redstart,Setophaga ruticilla,american redstart,American redstart,American redstart,"(Linnaeus, 1758)",Paruline flamboyante,American Redstart,Paruline flamboyante,Passeriformes,Parulidae,,Setophaga,Setophaga ruticilla,,,,,,Eastern Forest,Widespread Neotropical,Parulidae,landbird,M,other,native,42464674,37027311,48475245,2006,2015,PIF0615,BBS7017,1970,2017,4242063.118,-423720.7354,8951280.331,2703868.593,5863375.811,42464673.68,37027310.5,48475244.5,0.081164913,0.00961596,100,2
American Robin,Turdus migratorius,AMRO,TURMIG,AMRO,"Vanderhoff et al., 2020","Vanderhoff, N., Pyle, P., Patten, M. A., Sallabanks, R., & James, F. C. (2020). American Robin (Turdus migratorius), version 1.0. Birds of the World. https://doi.org/10.2173/bow.amerob.01species_shared.bow.project_name",78.09,Long Point Bird Observatory,open woodlands,insects,tree,ground forager,low concern,Vermivore,ground,gleaner,American Robin,Turdus migratorius,american robin,American robin,American robin,"(Linnaeus, 1766)",Merle d'Amérique,American Robin,Merle d'Amérique,Passeriformes,Turdidae,,Turdus,Turdus migratorius,,American robin,O-pi'-che,,Merula migratoria,Forest Generalist,Temperate North America,Turdidae,landbird,M,other,native,366076928,337429985,392723825,2006,2015,PIF0615,BBS7017,1970,2017,-20019406.37,-37111476.98,-3750046.45,-25820997.26,-14432668.61,366076928.5,337429984.5,392723824.5,0.816820459,0.040591642,200,2
American Woodcock,Scolopax minor,AMWO,SCOMIN,AMWO,"McAuley et al., 2020","McAuley, D. G., Keppie, D. M., & Whiting Jr., R. M. (2020). American Woodcock (Scolopax minor), version 1.0. Birds of the World. https://doi.org/10.2173/bow.amewoo.01species_shared.bow.project_name",161.17,Long Point Bird Observatory,forests,insects,ground,probing,declining,Vermivore,ground,probe,American Woodcock,Scolopax minor,american woodcock,American woodcock,American woodcock,"(Gmelin, 1789)",Bécasse d'Amérique,American Woodcock,Bécasse d'Amérique,Charadriiformes,Scolopacidae,Scolopacinae,Scolopax,Scolopax minor,,,,,,Eastern Forest,Temperate North America,Scolopacidae,shorebird,M,other,native,3500000,3000000,4000000,2011,2013,Shoreb12,SGS6817,1970,2017,1664212.47,1325504.355,2031492.917,1544190.625,1785860.082,Missing,,,,,,
Bald Eagle,Haliaeetus leucocephalus,BAEA,HALLEU,BAEA,"Buehler, 2022","Buehler, D. A. (2022). Bald Eagle (Haliaeetus leucocephalus), version 2.0. Birds of the World. https://doi.org/10.2173/bow.baleag.02species_shared.bow.project_name",4897.5,Birds of the World,forests,fish,tree,soaring,low concern,Piscivore,water,foot-plunger,Bald Eagle,Haliaeetus leucocephalus,bald eagle,bald eagle,Bald eagle,"(Linnaeus, 1766)",Pygargue à tête blanche,Bald Eagle,Pygargue à tête blanche,Accipitriformes,Accipitridae,Accipitrinae,Haliaeetus,Haliaeetus leucocephalus,,Bald Eagle,Mi'-gi-zi,"unknown. When young, or gray, it is called Ini'-ni-zi which is man eagle. When old and white, it is called Wa'-bi-jush-kwe', which means white woman",Haliaetus leucocephalus,Wetland,Temperate North America,Accipitridae,landbird,M,other,native,200000,100000,300000,2015,2017,ACAD,BBS7017,1970,2017,-199324.9438,-312189.9806,-96947.83402,-236328.5262,-162465.3769,Missing,,,,,,
Bank Swallow,Riparia riparia,BANS,RIPRIP,BANS,"Garrison and Turner, 2020","Garrison, B. A., & Turner, A. (2020). Bank Swallow (Riparia riparia), version 1.0. Birds of the World. https://doi.org/10.2173/bow.banswa.01species_shared.bow.project_name",14,Long Point Bird Observatory,lakes and ponds,insects,burrow,aerial forager,common bird in steep decline,Insectivore,air,screener,Bank Swallow,Riparia riparia,bank swallow,bank swallow,Bank swallow,"(Linnaeus, 1758)",Hirondelle de rivage,Bank Swallow,Hirondelle de rivage,Passeriformes,Hirundinidae,Hirundininae,Riparia,Riparia riparia,,,,,,Habitat Generalist,South America,Hirundinidae,landbird,M,AI,native,7940368,6125188,10752527,2006,2015,PIF0615,BBS7017,1970,2017,56359017.02,39379185.34,73792278.98,50452681.75,62176291.44,7940368.473,6125187.5,10752526.5,0.642518351,0.054160354,200,1
Baltimore Oriole,Icterus galbula,BAOR,ICTGAL,BAOR,"Rising and Flood, 2020","Rising, J. D., & Flood, N. J. (2020). Baltimore Oriole (Icterus galbula), version 1.0. Birds of the World. https://doi.org/10.2173/bow.balori.01species_shared.bow.project_name",34.12,Long Point Bird Observatory,forests,insects,tree,foliage gleaner,low concern,Omnivore,upper-canopy,forager,Baltimore Oriole,Icterus galbula,baltimore oriole,Baltimore oriole,Baltimore oriole,"(Linnaeus, 1758)",Oriole de Baltimore,Baltimore Oriole,Oriole de Baltimore,Passeriformes,Icteridae,Icterinae,Icterus,Icterus galbula,,Baltimore Oriole,"Wa-do'-pi-bi-ne'-shi, Wadopi bineshi ",Poplar or willow bird; from its nesting on the boughs of these trees,Icterrus galbula,Eastern Forest,Widespread Neotropical,Icteridae,landbird,M,other,native,11806532,10808329,12963225,2006,2015,PIF0615,BBS7017,1970,2017,8601410.806,7298291.343,10020637.07,8136466.436,9067441.416,11806531.88,10808328.5,12963225,0.141448158,0.008339067,125,1.75
Black-billed Cuckoo,Coccyzus erythropthalmus,BBCU,COCERY,BBCU,"Hughes, 2020a","Hughes, J. M. (2020a). Black-billed Cuckoo (Coccyzus erythropthalmus), version 1.0. Birds of the World. https://doi.org/10.2173/bow.bkbcuc.01species_shared.bow.project_name",50.85,Birds of the World,forests,insects,tree,foliage gleaner,declining,Insectivore,lower-canopy,gleaner,Black-billed Cuckoo,Coccyzus erythropthalmus,black-billed cuckoo,black-billed cuckoo,Black-billed cuckoo,"(Wilson, 1811)",Coulicou à bec noir,Black-billed Cuckoo,Coulicou à bec noir,Cuculiformes,Cuculidae,Cuculinae,Coccyzus,Coccyzus erythropthalmus,,,,,,Eastern Forest,South America,Cuculidae,landbird,M,other,native,875781,735134,1051851,2006,2015,PIF0615,BBS7017,1970,2017,1473177.097,1066336.779,1901168.548,1329195.019,1619381.797,875781.37,735133.5,1051851,0.283172906,0.005624163,200,2
Black-capped Chickadee,Poecile atricapillus,BCCH,POEATR,BCCH,"Foote et al., 2020","Foote, J. R., Mennill, D. J., Ratcliffe, L. M., & Smith, S. M. (2020). Black-capped Chickadee (Poecile atricapillus), version 1.0. Birds of the World. https://doi.org/10.2173/bow.bkcchi.01species_shared.bow.project_name",10.76,Long Point Bird Observatory,forests,insects,cavity,foliage gleaner,low concern,Insectivore,lower-canopygleaner,gleaner,Black-capped Chickadee,Poecile atricapillus,black-capped chickadee,black-capped chickadee,Black-capped chickadee,"(Linnaeus, 1766)",Mésange à tête noire,Black-capped Chickadee,Mésange à tête noire,Passeriformes,Paridae,,Poecile,Poecile atricapillus,,Black-capped chickadee,Kitch'-i-kitch'-i-ga'-ne-shi,Attempted mimicry of its song ,Parus atricapillus,Forest Generalist,Temperate North America,Paridae,landbird,R,other,native,43031705,39633241,46269089,2006,2015,PIF0615,BBS7017,1970,2017,-11554201.43,-15357820.55,-8230942.025,-12801407.66,-10341552.91,43031705.05,39633241,46269088.5,0.378610362,0.015744777,125,2
Belted Kingfisher,Megaceryle alcyon,BEKI,MEGALC,BEKI,"Kelly et al., 2020","Kelly, J. F., Bridge, E. S., & Hamas, M. J. (2020). Belted Kingfisher (Megaceryle alcyon), version 1.0. Birds of the World. https://doi.org/10.2173/bow.belkin1.01species_shared.bow.project_name",148.75,Birds of the World,lakes and ponds,fish,burrow,aerial dive,low concern,Piscivore,water,plunger,Belted Kingfisher,Megaceryle alcyon,belted kingfisher,belted kingfisher,Belted kingfisher,"(Linnaeus, 1758)",Martin-pêcheur d'Amérique,Belted Kingfisher,Martin-pêcheur d'Amérique,Coraciiformes,Alcedinidae,Cerylinae,Megaceryle,Megaceryle alcyon,,,,,,Wetland,Widespread,Alcedinidae,landbird,M,other,native,1843798,1568548,2159306,2006,2015,PIF0615,BBS7017,1970,2017,1557331.645,1271728.245,1866621.591,1456772.487,1659761.093,1843797.767,1568548,2159305.5,0.290382383,0.001070783,200,2
Blue-gray Gnatcatcher,Polioptila caerulea,BGGN,POLCAE,BGGN,"Kershner and Ellison, 2020","Kershner, E. L., & Ellison, W. G. (2020). Blue-gray Gnatcatcher (Polioptila caerulea), version 1.0. Birds of the World. https://doi.org/10.2173/bow.buggna.01species_shared.bow.project_name",6.02,Long Point Bird Observatory,forests,insects,tree,foliage gleaner,low concern,Insectivore,upper-canopy,gleaner,Blue-gray Gnatcatcher,Polioptila caerulea,blue-gray gnatcatcher,blue-gray gnatcatcher,Blue-gray gnatcatcher,"(Linnaeus, 1766)",Gobemoucheron gris-bleu,Blue-gray Gnatcatcher,Gobemoucheron gris-bleu,Passeriformes,Polioptilidae,,Polioptila,Polioptila caerulea,,,,,,Habitat Generalist,Widespread,Polioptilidae,landbird,M,other,native,229194394,195048713,266969269,2006,2015,PIF0615,BBS7017,1970,2017,-31567071.65,-53467417.79,-12538961.51,-38600216.55,-24753750.23,229194393.9,195048713,266969269,0.507549726,0.013481573,50,1.75
Brown-headed Cowbird,Molothrus ater,BHCO,MOLATE,BHCO,"Lowther, 2020","Lowther, P. E. (2020). Brown-headed Cowbird (Molothrus ater), version 1.0. Birds of the World. https://doi.org/10.2173/bow.bnhcow.01species_shared.bow.project_name",46.33,Long Point Bird Observatory,grasslands,seeds,tree,ground forager,low concern,Omnivore,ground,forager,Brown-headed Cowbird,Molothrus ater,brown-headed cowbird,brown-headed cowbird,Brown-headed cowbird,"(Boddaert, 1783)",Vacher à tête brune,Brown-headed Cowbird,Vacher à tête brune,Passeriformes,Icteridae,Agelaiinae,Molothrus,Molothrus ater,,Cowbird,A-ga'-jid-as-sig'-gi-nak,Small Black bird,Molothrus ater,Habitat Generalist,Temperate North America,Icteridae,landbird,M,other,native,126705388,117868557,135950409,2006,2015,PIF0615,BBS7017,1970,2017,40902526.7,32324567.26,49507921.9,38026024.99,43814928.04,126705387.7,117868556.5,135950409,0.196359385,0.015316476,125,1.75
Blackburnian Warbler,Setophaga fusca,BLBW,SETFUS,BLBW,"Morse, 2020","Morse, D. H. (2020). Blackburnian Warbler (Setophaga fusca), version 1.0. Birds of the World. https://doi.org/10.2173/bow.bkbwar.01species_shared.bow.project_name",10.04,Long Point Bird Observatory,forests,insects,tree,foliage gleaner,low concern,Insectivore,upper-canopy,gleaner,Blackburnian Warbler,Setophaga fusca,blackburnian warbler,blackburnian warbler,Blackburnian warbler,"(Müller, 1776)",Paruline à gorge orangée,Blackburnian Warbler,Paruline à gorge orangée,Passeriformes,Parulidae,,Setophaga,Setophaga fusca,,,,,,Boreal Forest,South America,Parulidae,landbird,M,other,native,13271149,10865077,16109037,2006,2015,PIF0615,BBS7017,1970,2017,-1387357.248,-3305715.935,266365.8675,-1988293.812,-807792.7123,13271149.5,10865077,16109037,0.191437754,0.009454552,80,2
Blue Jay,Cyanocitta cristata,BLJA,CYACRI,BLJA,"Smith et al., 2020","Smith, K. G., Tarvin, K. A., & Woolfenden, G. E. (2020). Blue Jay (Cyanocitta cristata), version 1.0. Birds of the World. https://doi.org/10.2173/bow.blujay.01species_shared.bow.project_name",85.46,Long Point Bird Observatory,forests,omnivore,tree,ground forager,low concern,Omnivore,ground,forager,Blue Jay,Cyanocitta cristata,blue jay,blue jay,Blue jay,"(Linnaeus, 1758)",Geai bleu,Blue Jay,Geai bleu,Passeriformes,Corvidae,,Cyanocitta,Cyanocitta cristata,,Blue jay,Jan-di'-si,Name,Cyanocitta cristata,Eastern Forest,Temperate North America,Corvidae,landbird,M,other,native,17238587,15864197,18715069,2006,2015,PIF0615,BBS7017,1970,2017,5391959.722,4456773.377,6381627.172,5057991.44,5726875.121,17238586.96,15864197,18715068.5,0.196211491,0.011653135,200,1.25
Bobolink,Dolichonyx oryzivorus,BOBO,DOLORY,BOBO,"Renfrew et al., 2020","Renfrew, R., Strong, A. M., Perlut, N. G., Martin, S. G., & Gavin, T. A. (2020). Bobolink (Dolichonyx oryzivorus), version 1.0. Birds of the World. https://doi.org/10.2173/bow.boboli.01species_shared.bow.project_name",31.91,Long Point Bird Observatory,grasslands,seeds,ground,ground forager,declining,Omnivore,ground,forager,Bobolink,Dolichonyx oryzivorus,bobolink,bobolink,Bobolink,"(Linnaeus, 1758)",Goglu des prés,Bobolink,Goglu des prés,Passeriformes,Icteridae,Dolichonychinae,Dolichonyx,Dolichonyx oryzivorus,,Bobolink,"Shi-ka'-go-bi-ne'-shi, Shikago bineshi","Chicago black bird, that is skunk bird, from white stripe down the middle of the back",Dolichonyx oryzivorus ,Grassland,South America,Icteridae,landbird,M,other,native,10195298,8796086,11917384,2006,2015,PIF0615,BBS7017,1970,2017,15777560.73,12973014.94,18704343.36,14817756.2,16756539.77,10195298.06,8796086,11917383.5,0.240408992,0.018723365,200,1.75
Brown Creeper,Certhia americana,BRCR,CERAME,BRCR,"Poulin et al., 2020","Poulin, J.-F., D’Astous, É., Villard, M.-A., Hejl, S. J., Newlon, K. R., McFadzen, M. E., Young, J. S., & Ghalambor, C. K. (2020). Brown Creeper (Certhia americana), version 1.0. Birds of the World. https://doi.org/10.2173/bow.brncre.01species_shared.bow.project_name",7.95,Long Point Bird Observatory,forests,insects,tree,bark forager,low concern,Insectivore,bark,gleaner,Brown Creeper,Certhia americana,brown creeper,brown creeper,Brown creeper,"(Bonaparte, 1838)",Grimpereau brun,Brown Creeper,Grimpereau brun,Passeriformes,Certhiidae,Certhiinae,Certhia,Certhia americana,,,,,,Forest Generalist,Temperate North America,Certhiidae,landbird,M,other,native,9484338,7757209,11639138,2006,2015,PIF0615,BBS7017,1970,2017,-2487358.451,-3722358.169,-1494288.516,-2881264.123,-2113947.656,9484338.217,7757209,11639137.5,0.327781306,0.007039325,80,2
Brown Thrasher,Toxostoma rufum,BRTH,TOXRUF,BRTH,"Cavitt and Haas, 2020","Cavitt, J. F., & Haas, C. A. (2020). Brown Thrasher (Toxostoma rufum), version 1.0. Birds of the World. https://doi.org/10.2173/bow.brnthr.01species_shared.bow.project_name",68.09,Birds of the World,scrub,omnivore,shrub,ground forager,low concern,Omnivore,ground,forager,Brown Thrasher,Toxostoma rufum,brown thrasher,brown thrasher,Brown thrasher,"(Linnaeus, 1758)",Moqueur roux,Brown Thrasher,Moqueur roux,Passeriformes,Mimidae,,Toxostoma,Toxostoma rufum,,,,,,Eastern Forest,Temperate North America,Mimidae,landbird,M,other,native,6168180,5625720,6771313,2006,2015,PIF0615,BBS7017,1970,2017,3614005.429,3148640.635,4104648.468,3456274.089,3781074.187,6168179.85,5625720,6771313,0.141308812,0.007605114,200,1.5
Black-throated Green Warbler,Setophaga virens,BTNW,SETVIR,BTNW,"Morse and Poole, 2020","Morse, D. H., & Poole, A. F. (2020). Black-throated Green Warbler (Setophaga virens), version 1.0. Birds of the World. https://doi.org/10.2173/bow.btnwar.01species_shared.bow.project_name",8.97,Long Point Bird Observatory,forests,insects,tree,foliage gleaner,low concern,Insectivore,upper-canopy,gleaner,Black-throated Green Warbler,Setophaga virens,black-throated green warbler,black-throated green warbler,Black-throated green warbler,"(Gmelin, 1789)",Paruline à gorge noire,Black-throated Green Warbler,Paruline à gorge noire,Passeriformes,Parulidae,,Setophaga,Setophaga virens,,,,,,Boreal Forest,Mexico-Central America,Parulidae,landbird,M,other,native,9177716,7924382,10581319,2006,2015,PIF0615,BBS7017,1970,2017,-1641064.295,-3228728.974,-305009.1155,-2161891.971,-1163479.932,9177715.63,7924381.5,10581318.5,0.123030348,0.008231303,125,2
