sample,year,sitecode,ABDU,AGOL,AGOS,AMBI,AMCR,AMKE,AMRE,AMRO,AMWO,BAEA,BANS,BAOR,BBCU,BCCH,BEKI,BGGN,BHCO,BLBW,BLJA,BOBO,BRCR,BRTH,BTNW,CANG,CARW,CAWA,CEDW,CHSP,CHSW,COGR,COHA,CONI,COYE,CSWA,CWWI,DOWO,EABL,EAKI,EAME,EAPH,EASO,EATO,EAWP,EUST,EWPW,FISP,GCFL,GHOW,GRCA,GRHE,HAWO,HOFI,HOME,INBU,KILL,LEBI,LEFL,MALL,MAWA,MAWR,MODO,NHWR,NOCA,NOFL,NOMO,NRWS,NSWO,OROR,PBGR,PIWA,PROW,RBGR,RBNU,RBWO,REVI,RHWO,RTHA,RTHU,RWBL,SCTA,SORA,SOSP,SPSA,SSHA,SWSP,TRES,VEER,VIRA,WAVI,WBNU,WEVI,WIFL,WISN,WITU,WIWR,WODU,WTSP,YBCU,YEWA,YTVI,(blank)
1991_BGGR,1991,BGGR,,,,,,,,,,,4,,,,,,,,,,,1,,,,,,1,,,,,,,,,,0.5,2.5,,,,,1,,4,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,14,,,2.5,,,,0.25,,,,,,,,,,,,,,,
1991_DCJS,1991,DCJS,,,,,1,,,,,,,,,,,,,,,,,,,,,,,5.5,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,4.5,,1,1,,,,,,,,,,,,,,1,,,3,,,,6,,,,,,,,,,,,,,,
1991_DCSD,1991,DCSD,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,2,,,,,,,,,,3.5,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,4,,,,,,,3.5,,,,,,,,,,,,,,,
1991_IDSS,1991,IDSS,,,,,,,,,,,,,,,,,,,,1,,,,,,,,5,,,,,,,,,,3,,,,,,5,,,,,,,,,,,3,,,1,,,,,,,2,,,,,,,,,,,,,,2.5,,,5,,,,6,,,,,,,,,,,,,,,
1991_RARO,1991,RARO,,2,,,,,,,1,,,6,,1.5,,,3.5,,1,,,,,,,,,,,4.5,,,7,,,2,,5,,,,1,9,5.5,,2.5,2,0.25,1,,1,,,,,,,,,,,11.5,,1.5,,,,,,,,,,,3,,,,18,,,14,,,,7,,,1,,,,,,,,,,9.5,,
1991_ROIS,1991,ROIS,,4,,,,,3,1,,,,5.5,,3,,,3,,,,,,,,1,,1,,,5.5,,,9,,,2.5,,7.5,,,,,14.5,7.5,,,2,1,,,,,,,,,4,,,,,12.5,1,0.5,,,,,,,,,,,2,,,,28,,,19.5,,,1,8,,,5.5,,,,,,,,,,11.5,,
1991_ROMF,1991,ROMF,,,,,,,,2,1,,,11,,2.5,,,1,,2,,,,,,,,,,,7,,,4.5,,,4.5,,6.5,,,,2,9,2,,,4.5,,,,,,,,,,,,,,,14,2,3,,,,,,,,,,2,9,1,,,15,,,11.5,,,,11,,,,2,,,,,,,,,5.5,,
1991_ROMS,1991,ROMS,,,,,,,4,3,1,,,8,,2,,,2,,1,,,,,,,,1,,,4.5,,,8.5,,,2,,4.5,,,,,11.5,6.5,,,3,,,,,,,,,,,,,,,7,1,2,,,,,,,,,,,4,,,,21.5,,,15,,,,6,,,4,1,,,,,,,,,13,,
1991_ROWB,1991,ROWB,,0.5,,,,,,2.5,,,,4,,,,1,1,,1,,,,0.25,,,,,1,,2,,,4,,,1,,2,,,,,3,1,1,,3,,,,,,,,,,,,,,1,11,,2,,,,,,,,,,,,2,,,10,,,3,,,,9,,,1,,,,,,,,,,2.5,,
1991_ROWP,1991,ROWP,1,2,,,,,,2,,,,3,,,,,,,,,,,,0.5,,,1,,,2,,,0.5,,,,,3,,,,,3,3,,,,,,,,,,,,,,1,,4,,5,,,,,,,,,1,,,,1,,,,,,,16,,,,8.5,,,,,,,,,,,,,2.5,,
1991_SRS1,1991,SRS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,3.5,,,,,,,,,,,,,,,,,,
1991_SRS2,1991,SRS2,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,1,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1.5,,,,,,,,,,,,,,,,,,
1991_STDP,1991,STDP,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,1,,,4,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,30,,,9,,,,4,,,,,,,,,,,,,4.5,,
1991_TMSL,1991,TMSL,,3,,,,,,,2,,,2.5,1,4,,,,,1,,,3,,,3,,1,1,,6.5,,,10.5,,,,,3,,,,1,3,,,1,2,,3,,,,,,,,,1,,,3.5,10,1,0.5,,,,,,,,,,,,,,,12,,,10.5,,,1,2.5,,,,,,,,,,,,,2,,
1991_WPWC,1991,WPWC,,,,,,,,1,,,,4.5,,2,,,1,,1,,,1.5,,,,1,1,5,,0.5,,,8,,1,,,1.5,,,,5,3,,,2.5,2,,2,,,,,,,,,,,,2,20.5,,1,,,,,,,,,,,,,,,4.5,,,2.5,,,,1,,,,,,,,,,,,,,,
1992_DCSD,1992,DCSD,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1.5,,,,,,,,,,4,,,,,,0.25,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,2,,,0.25,3,,,6,,,,,,,,,,,,,,,
1992_RARO,1992,RARO,,,,,,1,,,1,,,4.5,,,,,2.5,,1,,,,,,0.25,,,,,5,,,3.5,,,1,,5,,,,,5,6,,2,1.5,,,,,,,,,,,,,,,10,,2,,,,,,,,,,,5.5,,,,11.5,,,7.5,,,,6,,,1,,,,,,,1,,,5.5,,
1992_ROIS,1992,ROIS,,2,,,,,3,1,,,,6.5,,,,,2,,,,,,,,,,,,,5,,,8.5,,,1,,8.5,,,,,9.5,6.5,,,3,0.5,,,,,,,,,5,,,,2,18,,1,,,,,,,,,,,3,,1,,24,,,14,,,2,9,,,5,,,,,,,,,,11.5,,
1992_TMSL,1992,TMSL,,1,,,,,,,1,,,3,,3,,,1,,,,,3,,,2,,1,3,,6,,,9,,,,,2.5,,0.5,,2,4,1,1,3.5,3,,3,,,,,1,,,,1,,,3,8.5,2,0.5,,,,,,,,,,,,,,,11.5,,,8.5,,,2,3,,1,,,,,,,,1,,,4.5,,
1993_IDSS,1993,IDSS,,,,,,,,1,,,,,,,,,,,,,,3,,,,,,4,,3,,,,,,,,3.5,,,,,,2.5,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,4,1,,,13.5,,,,,,,,,,,,,,,
1993_SRS1,1993,SRS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,1,,,,,,,,,,,,,,,,,,
1993_SRS2,1993,SRS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,2,,,,,,,,,,,,,,,,,,,
1993_STDP,1993,STDP,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,2,,,6,,,,,4,,,,,,,,0.25,,,,,,,,,,,,,,,2,1.5,,,,,,,,,,,,,,,,,41,,,8.5,,,,5.5,,,,,,,,,,,,,2,,
1993_WPWC,1993,WPWC,,,,,,,,0.5,,,,5.5,,2.5,,,2,1,1,,1,0.5,,,1,,2,5.5,,1,,,5.5,,1,1,,1.5,,,,3.5,3,1.5,3,3.5,2.5,,6,,,,,,,,1,0.5,1,,4,27.5,1.5,1,,,,,,,,,1,,1,,,,3,,,5,,,,4.5,,,,,1,,,,,,,1,0.5,,
1994_ROMF,1994,ROMF,,,,,,,0.5,,,,,9,,1,,0.5,2,,1,,,,,,,,,,,1,,,5,,,2,,3,,,,,12,3.5,,,3,,,,,,,2,,,,,,,,14,,1,,,,,,,,,,2,6,0.5,0.5,,7,,,4.5,,,,18.5,,,2,,,,,,,,,1,4.5,,
1994_ROMS,1994,ROMS,,,,,,,1,1.5,,,,6,,1,,,2,,1,,,,,,,,1,,,2,,,7.5,,,1,,2,,,,,13,2,,,2,0.5,,,,,,,,,,,,,,12,1,1,,,,,,,,,,,1,1,,,12.5,,,8,,,,7,,,3,1,,,,,,,,1,6,,
1994_ROWB,1994,ROWB,,,,,,,1,3,,,,6,,1,,1.5,,,1,,,,,,,,,1,,2,,,4.5,,,2,,2,,,,,10,4,2,,2,,3,,,,,,,,,,,,3,12,,2,,,,,,,,,,0.5,4,,,1,16.5,,,3,,,,11,,,5.5,,,,,,,,,2,7.5,,
1994_ROWP,1994,ROWP,,,,,,,,1,,,,5,,,,,,,,,,,,,,,,,,4,,,3,,,1,,3,,,,,6,5,,,,1,,,,,,,,,,,,1.5,0.5,1,,2,,,,,,,,,,,,1,,,16,,,8,,,,17,,,,,,,,,,,,,5.5,,
1995_BGGR,1995,BGGR,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,3,2,,,,,,,7.5,,,,,,,,,3,,,,,,,,,,,2,,,,,,,,,,,,,12,,,10,,,,3,,,,,,,,,,,,,1,,
1995_DCJS,1995,DCJS,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,8,,,,,,,,,,,,,,,,,,4,,,,,,,,,2,,,,,,,,,,1,1,,,,,,,,,,,,,1,,,11,,,,6,,,,,,,,,,,,,,,
1995_IDSS,1995,IDSS,,,,,,,,,,,,,,,,,2,,,,,,,,,,,5,,1,,,,,,,,2,,,,,,6,,3,,,,,,,,,2,,,,,,,2.5,,,,2,,,,,,,,,,,,,2,,,5.5,2,,,22,,,,,,,,,,,,,,,
1995_WPWC,1995,WPWC,,1,,,,,,2,,,,5.5,,2,,,4,,3,,,1,,,1,,,6.5,,3,,,4,,1,,,3,,,,6,3,,2,1,3,,4,,,,,,,,,,,,2,22.5,3,0.5,,,,,,,,,,,,,,,3.5,,,9,,,,2,,,,,1,,,,,,,,2,,
1996_DCSD,1996,DCSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2.5,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,0.5,,,6.5,,,,,,,,,,,,,,,
1996_RARO,1996,RARO,,,,,,,5.5,,,,,5.5,,0.25,,2,1,,1,,,,,,,,,,,3,,,9.5,,,,,5.5,,,,1,5.5,2,1,0.5,1,,1,,,,,0.5,,,,,,,4,13.5,,1,,,,,,,,,,0.25,4,,,1,14,,,7,,,,8,,,5,1,,,,,,,,1,9.5,,
1996_ROIS,1996,ROIS,,,,,,,2.5,,1,,,3.5,,,,,,,,,,,,,,,,,,2,,,14,,,1,,3,,,,,9.5,3.5,1,,,0.25,1,,,,,,,,1,,,3,,10,,1,,,,,,,,,,,3,,,,28,,,11,,,4.5,9,,,7,,,,,,,,,,18,,
1996_TMSL,1996,TMSL,,1,,,,,3,,2,,,4,,1,,2,3,,1,,,3,,,,,1,7.5,,1,,,15,,,,,3,,,,5,6,,2,,2,,10,,,,,,,,,,,1,2.5,13,3,,,,,,,,,,,,3,,,1,18,,,10,,,2,4,,,,,1,,,,,,,,17,,
1997_IDSS,1997,IDSS,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,3,,,,,,,,,,1.5,,,,,,1,,5,,,,,,,,,1,,,,,,,1.5,,,1,,,,,,,,,,,,,,10,,,6,1,,,19,,,,,,,,,,,,,,,
1997_ROWB,1997,ROWB,,,,,,,2,1,,,,11,,2,,2,,,2,,,,,,,,,3,,1,,,6,,,1,,3.5,,,,0.25,8,4,1,,2,,2.5,,,,,,,,,,,,1.5,12,1,3,,,,,,,,,,0.25,5,,1,1,13,,,1,,,,14,,,3,,,,,,,,,2,7.5,,
1997_ROWP,1997,ROWP,,,,,,,,1.5,,,,5,,,,,,,,,,,,,,,,,,2,,,5,,,1,,4,,,,,6,3,,,,,1,,,,,,,1,,,,,1,1,2,,,,,,,,,,,,2,,,,22,,,10,,,,14,,,2,,,1,,,,,,,11,,
1997_SRS1,1997,SRS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,5,,,1,0.5,,,,,,,,,,,,,,,,,,
1997_SRS2,1997,SRS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2.5,,,,2,,,,,,,,,,,,,,,
1998_BGGR,1998,BGGR,,,,,,,,,,,2,1,,,,,,,,,,0.5,,,,,,2,,,,,2,,,,,3.5,1,,,,,,,6.5,,,1,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,4,,,3.5,,,,3,,,,,,,,,,,,,,,
