monitoringID,year,sitecode,richness
1991_BGGR,1991,BGGR,12
1991_DCJS,1991,DCJS,10
1991_DCSD,1991,DCSD,7
1991_IDSS,1991,IDSS,10
1991_RARO,1991,RARO,26
1991_ROIS,1991,ROIS,27
1991_ROMF,1991,ROMF,25
1991_ROMS,1991,ROMS,25
1991_ROWB,1991,ROWB,25
1991_ROWP,1991,ROWP,19
1991_SRS1,1991,SRS1,5
1991_SRS2,1991,SRS2,6
1991_STDP,1991,STDP,10
1991_TMSL,1991,TMSL,28
1991_WPWC,1991,WPWC,24
1992_DCSD,1992,DCSD,10
1992_RARO,1992,RARO,23
1992_ROIS,1992,ROIS,25
1992_TMSL,1992,TMSL,33
1993_IDSS,1993,IDSS,12
1993_SRS1,1993,SRS1,4
1993_SRS2,1993,SRS2,4
1993_STDP,1993,STDP,12
1993_WPWC,1993,WPWC,38
1994_ROMF,1994,ROMF,26
1994_ROMS,1994,ROMS,27
1994_ROWB,1994,ROWB,28
1994_ROWP,1994,ROWP,18
1995_BGGR,1995,BGGR,11
1995_DCJS,1995,DCJS,10
1995_IDSS,1995,IDSS,13
1995_WPWC,1995,WPWC,28
1996_DCSD,1996,DCSD,6
1996_RARO,1996,RARO,30
1996_ROIS,1996,ROIS,23
1996_TMSL,1996,TMSL,31
1997_IDSS,1997,IDSS,13
1997_ROWB,1997,ROWB,31
1997_ROWP,1997,ROWP,20
1997_SRS1,1997,SRS1,5
1997_SRS2,1997,SRS2,4
1998_BGGR,1998,BGGR,15
1998_ROMS,1998,ROMS,25
1998_STDP,1998,STDP,11
1998_WPWC,1998,WPWC,24
1999_DCJS,1999,DCJS,10
1999_RARO,1999,RARO,25
1999_ROMF,1999,ROMF,27
1999_ROMS,1999,ROMS,22
2000_DCJS,2000,DCJS,9
2000_ROIS,2000,ROIS,29
2000_ROMF,2000,ROMF,35
2000_TMSL,2000,TMSL,29
2001_DCSD,2001,DCSD,6
2001_RARO,2001,RARO,22
2001_ROIS,2001,ROIS,27
2001_TMSL,2001,TMSL,32
2002_ROWB,2002,ROWB,27
2002_ROWP,2002,ROWP,22
2002_SRS1,2002,SRS1,4
2002_SRS2,2002,SRS2,5
2002_WPWC,2002,WPWC,25
2003_BGGR,2003,BGGR,16
2003_IDSS,2003,IDSS,16
2003_STDP,2003,STDP,17
2003_WPWC,2003,WPWC,26
2004_DCJS,2004,DCJS,15
2004_IDSS,2004,IDSS,12
2004_ROMF,2004,ROMF,39
2004_ROMS,2004,ROMS,32
2005_ROIS,2005,ROIS,30
2005_ROMS,2005,ROMS,31
2005_TMSL,2005,TMSL,34
2006_IDSS,2006,IDSS,11
2006_STDP,2006,STDP,25
2007_SRS1,2007,SRS1,10
2007_SRS2,2007,SRS2,9
2007_WPWC,2007,WPWC,26
2008_BGGR,2008,BGGR,16
2008_DCSD,2008,DCSD,16
2008_IDSS,2008,IDSS,17
2008_RARO,2008,RARO,28
2008_ROWB,2008,ROWB,28
2008_ROWP,2008,ROWP,20
2009_DCJS,2009,DCJS,19
2009_ROIS,2009,ROIS,30
2009_ROMF,2009,ROMF,36
2009_ROMS,2009,ROMS,24
2009_STDP,2009,STDP,18
2009_TMSL,2009,TMSL,27
2010_DCJS,2010,DCJS,17
2010_RARO,2010,RARO,29
2010_ROIS,2010,ROIS,28
2010_ROMF,2010,ROMF,33
2010_ROMS,2010,ROMS,27
2010_SRS1,2010,SRS1,8
2010_SRS2,2010,SRS2,4
2011_BGGR,2011,BGGR,13
2011_IDSS,2011,IDSS,16
2011_STDP,2011,STDP,23
2012_DCJS,2012,DCJS,20
2012_IDSS,2012,IDSS,14
2012_TMSL,2012,TMSL,31
2012_WPWC,2012,WPWC,22
2013_DCSD,2013,DCSD,14
2013_ROWB,2013,ROWB,26
2013_SRS1,2013,SRS1,8
2013_SRS2,2013,SRS2,5
2016_BGGR,2016,BGGR,14
2016_DCJS,2016,DCJS,14
2016_DCSD,2016,DCSD,13
2016_IDSS,2016,IDSS,15
2016_RARO,2016,RARO,34
2016_ROIS,2016,ROIS,34
2016_ROMF,2016,ROMF,34
2016_ROMS,2016,ROMS,35
2016_ROWB,2016,ROWB,26
2016_ROWP,2016,ROWP,29
2016_SRS1,2016,SRS1,10
2016_SRS2,2016,SRS2,10
2016_STDP,2016,STDP,16
2016_TMSL,2016,TMSL,27
2016_WPWC,2016,WPWC,27
2017_RARO,2017,RARO,21
2017_ROWB,2017,ROWB,21
2017_ROWP,2017,ROWP,35
2017_TMSL,2017,TMSL,24
2017_WPWC,2017,WPWC,15
2018_DCJS,2018,DCJS,16
2018_IDSS,2018,IDSS,18
2018_ROMF,2018,ROMF,32
2018_ROMS,2018,ROMS,38
2018_STDP,2018,STDP,27
2019_RARO,2019,RARO,32
2019_ROIS,2019,ROIS,36
2019_ROMS,2019,ROMS,33
2019_ROWB,2019,ROWB,26
2019_ROWP,2019,ROWP,26
2021_BGGR,2021,BGGR,16
2021_DCJS,2021,DCJS,17
2021_DCSD,2021,DCSD,12
2021_IDSS,2021,IDSS,20
2021_RARO,2021,RARO,35
2021_ROIS,2021,ROIS,35
2021_ROMF,2021,ROMF,33
2021_ROMS,2021,ROMS,35
2021_ROWB,2021,ROWB,34
2021_ROWP,2021,ROWP,32
2021_SRS1,2021,SRS1,13
2021_SRS2,2021,SRS2,11
2021_STDP,2021,STDP,24
2021_TMSL,2021,TMSL,29
2021_WPWC,2021,WPWC,27
