year,sitecode,species_4code_IBP,territories
1991,BGGR,TRES,0.25
1991,BGGR,RWBL,14
1991,BGGR,BANS,4
1991,BGGR,FISP,4
1991,BGGR,EAME,2.5
1991,BGGR,SOSP,2.5
1991,BGGR,KILL,2
1991,BGGR,BRTH,1
1991,BGGR,CHSP,1
1991,BGGR,EUST,1
1991,BGGR,EAKI,0.5
1991,DCJS,TRES,6
1991,DCJS,CHSP,5.5
1991,DCJS,NHWR,4.5
1991,DCJS,SOSP,3
1991,DCJS,EUST,2
1991,DCJS,AMCR,1
1991,DCJS,FISP,1
1991,DCJS,NOFL,1
1991,DCJS,NOMO,1
1991,DCJS,RWBL,1
1991,DCSD,RWBL,4
1991,DCSD,EAKI,3.5
1991,DCSD,TRES,3.5
1991,DCSD,CHSP,2
1991,DCSD,FISP,1
1991,DCSD,NHWR,1
1991,DCSD,BAOR,0.5
1991,IDSS,TRES,6
1991,IDSS,CHSP,5
1991,IDSS,EUST,5
1991,IDSS,SOSP,5
1991,IDSS,EAKI,3
1991,IDSS,KILL,3
1991,IDSS,RWBL,2.5
1991,IDSS,NOMO,2
1991,IDSS,BOBO,1
1991,IDSS,MALL,1
1991,RARO,GHOW,0.25
1991,RARO,RWBL,18
1991,RARO,SOSP,14
1991,RARO,NHWR,11.5
1991,RARO,YEWA,9.5
1991,RARO,EAWP,9
1991,RARO,COYE,7
1991,RARO,TRES,7
1991,RARO,BAOR,6
1991,RARO,EUST,5.5
1991,RARO,EAKI,5
1991,RARO,COGR,4.5
1991,RARO,BHCO,3.5
1991,RARO,REVI,3
1991,RARO,FISP,2.5
1991,RARO,AGOL,2
1991,RARO,DOWO,2
1991,RARO,GCFL,2
1991,RARO,BCCH,1.5
1991,RARO,NOFL,1.5
1991,RARO,AMWO,1
1991,RARO,BLJA,1
1991,RARO,EATO,1
1991,RARO,GRCA,1
1991,RARO,HAWO,1
1991,RARO,WAVI,1
1991,ROIS,RWBL,28
1991,ROIS,SOSP,19.5
1991,ROIS,EAWP,14.5
1991,ROIS,NHWR,12.5
1991,ROIS,YEWA,11.5
1991,ROIS,COYE,9
1991,ROIS,TRES,8
1991,ROIS,EAKI,7.5
1991,ROIS,EUST,7.5
1991,ROIS,BAOR,5.5
1991,ROIS,COGR,5.5
1991,ROIS,WAVI,5.5
1991,ROIS,AGOL,4
1991,ROIS,LEFL,4
1991,ROIS,AMRE,3
1991,ROIS,BCCH,3
1991,ROIS,BHCO,3
1991,ROIS,DOWO,2.5
1991,ROIS,GCFL,2
1991,ROIS,REVI,2
1991,ROIS,AMRO,1
1991,ROIS,CARW,1
1991,ROIS,CEDW,1
1991,ROIS,GHOW,1
1991,ROIS,NOCA,1
1991,ROIS,SWSP,1
1991,ROIS,NOFL,0.5
1991,ROMF,RWBL,15
1991,ROMF,NHWR,14
1991,ROMF,SOSP,11.5
1991,ROMF,BAOR,11
1991,ROMF,TRES,11
1991,ROMF,EAWP,9
1991,ROMF,REVI,9
1991,ROMF,COGR,7
1991,ROMF,EAKI,6.5
1991,ROMF,YEWA,5.5
1991,ROMF,COYE,4.5
1991,ROMF,DOWO,4.5
1991,ROMF,GCFL,4.5
1991,ROMF,NOFL,3
1991,ROMF,BCCH,2.5
1991,ROMF,AMRO,2
1991,ROMF,BLJA,2
1991,ROMF,EATO,2
1991,ROMF,EUST,2
1991,ROMF,NOCA,2
1991,ROMF,RBWO,2
1991,ROMF,WBNU,2
1991,ROMF,AMWO,1
1991,ROMF,BHCO,1
1991,ROMF,RHWO,1
1991,ROMS,RWBL,21.5
1991,ROMS,SOSP,15
1991,ROMS,YEWA,13
1991,ROMS,EAWP,11.5
1991,ROMS,COYE,8.5
1991,ROMS,BAOR,8
1991,ROMS,NHWR,7
1991,ROMS,EUST,6.5
1991,ROMS,TRES,6
1991,ROMS,COGR,4.5
1991,ROMS,EAKI,4.5
1991,ROMS,AMRE,4
1991,ROMS,REVI,4
1991,ROMS,WAVI,4
1991,ROMS,AMRO,3
1991,ROMS,GCFL,3
1991,ROMS,BCCH,2
1991,ROMS,BHCO,2
1991,ROMS,DOWO,2
1991,ROMS,NOFL,2
1991,ROMS,AMWO,1
1991,ROMS,BLJA,1
1991,ROMS,CEDW,1
1991,ROMS,NOCA,1
1991,ROMS,WBNU,1
1991,ROWB,BTNW,0.25
1991,ROWB,NHWR,11
1991,ROWB,RWBL,10
1991,ROWB,TRES,9
1991,ROWB,BAOR,4
1991,ROWB,COYE,4
1991,ROWB,EAWP,3
1991,ROWB,GCFL,3
1991,ROWB,SOSP,3
1991,ROWB,AMRO,2.5
1991,ROWB,YEWA,2.5
1991,ROWB,COGR,2
1991,ROWB,EAKI,2
1991,ROWB,NOFL,2
1991,ROWB,RHWO,2
1991,ROWB,BGGN,1
1991,ROWB,BHCO,1
1991,ROWB,BLJA,1
1991,ROWB,CHSP,1
1991,ROWB,DOWO,1
1991,ROWB,EUST,1
1991,ROWB,EWPW,1
1991,ROWB,MODO,1
1991,ROWB,WAVI,1
1991,ROWB,AGOL,0.5
1991,ROWP,SOSP,16
1991,ROWP,TRES,8.5
1991,ROWP,NHWR,5
1991,ROWP,MAWR,4
1991,ROWP,BAOR,3
1991,ROWP,EAKI,3
1991,ROWP,EAWP,3
1991,ROWP,EUST,3
1991,ROWP,YEWA,2.5
1991,ROWP,AGOL,2
1991,ROWP,AMRO,2
1991,ROWP,COGR,2
1991,ROWP,ABDU,1
1991,ROWP,CEDW,1
1991,ROWP,MALL,1
1991,ROWP,PROW,1
1991,ROWP,REVI,1
1991,ROWP,CANG,0.5
1991,ROWP,COYE,0.5
1991,SRS1,SPSA,3.5
1991,SRS1,KILL,2.5
1991,SRS1,RWBL,2.5
1991,SRS1,EAKI,1
1991,SRS1,EABL,0.5
1991,SRS2,BHCO,0.25
1991,SRS2,KILL,2.5
1991,SRS2,RWBL,2
1991,SRS2,SPSA,1.5
1991,SRS2,CHSP,1
1991,SRS2,EAKI,0.5
1991,STDP,RWBL,30
1991,STDP,SOSP,9
1991,STDP,YEWA,4.5
1991,STDP,COYE,4
1991,STDP,TRES,4
1991,STDP,EAKI,3.5
1991,STDP,BAOR,1
1991,STDP,BCCH,1
1991,STDP,COGR,1
1991,STDP,NHWR,0.5
1991,TMSL,RWBL,12
1991,TMSL,COYE,10.5
1991,TMSL,SOSP,10.5
1991,TMSL,NHWR,10
1991,TMSL,COGR,6.5
1991,TMSL,BCCH,4
1991,TMSL,MODO,3.5
1991,TMSL,AGOL,3
1991,TMSL,BRTH,3
1991,TMSL,CARW,3
1991,TMSL,EAKI,3
1991,TMSL,EAWP,3
1991,TMSL,GRCA,3
1991,TMSL,BAOR,2.5
1991,TMSL,TRES,2.5
1991,TMSL,AMWO,2
1991,TMSL,GCFL,2
1991,TMSL,YEWA,2
1991,TMSL,BBCU,1
1991,TMSL,BLJA,1
1991,TMSL,CEDW,1
1991,TMSL,CHSP,1
1991,TMSL,EATO,1
1991,TMSL,FISP,1
1991,TMSL,MALL,1
1991,TMSL,NOCA,1
1991,TMSL,SWSP,1
1991,TMSL,NOFL,0.5
1991,WPWC,NHWR,20.5
1991,WPWC,COYE,8
1991,WPWC,CHSP,5
1991,WPWC,EATO,5
1991,WPWC,BAOR,4.5
1991,WPWC,RWBL,4.5
1991,WPWC,EAWP,3
1991,WPWC,FISP,2.5
1991,WPWC,SOSP,2.5
1991,WPWC,BCCH,2
1991,WPWC,GCFL,2
1991,WPWC,GRCA,2
1991,WPWC,MODO,2
1991,WPWC,BRTH,1.5
1991,WPWC,EAKI,1.5
1991,WPWC,AMRO,1
1991,WPWC,BHCO,1
1991,WPWC,BLJA,1
1991,WPWC,CAWA,1
1991,WPWC,CEDW,1
1991,WPWC,CWWI,1
1991,WPWC,NOFL,1
1991,WPWC,TRES,1
1991,WPWC,COGR,0.5
1992,DCSD,EUST,0.25
1992,DCSD,SOSP,0.25
1992,DCSD,TRES,6
1992,DCSD,EAKI,4
1992,DCSD,SPSA,3
1992,DCSD,BAOR,2
1992,DCSD,FISP,2
1992,DCSD,NHWR,2
1992,DCSD,RWBL,2
1992,DCSD,CHSP,1.5
1992,RARO,CARW,0.25
1992,RARO,RWBL,11.5
1992,RARO,NHWR,10
1992,RARO,SOSP,7.5
1992,RARO,EUST,6
1992,RARO,TRES,6
1992,RARO,REVI,5.5
1992,RARO,YEWA,5.5
1992,RARO,COGR,5
1992,RARO,EAKI,5
1992,RARO,EAWP,5
1992,RARO,BAOR,4.5
1992,RARO,COYE,3.5
1992,RARO,BHCO,2.5
1992,RARO,FISP,2
1992,RARO,NOFL,2
1992,RARO,GCFL,1.5
1992,RARO,AMKE,1
1992,RARO,AMWO,1
1992,RARO,BLJA,1
1992,RARO,DOWO,1
1992,RARO,WAVI,1
1992,RARO,WODU,1
1992,ROIS,RWBL,24
1992,ROIS,NHWR,18
1992,ROIS,SOSP,14
1992,ROIS,YEWA,11.5
1992,ROIS,EAWP,9.5
1992,ROIS,TRES,9
1992,ROIS,COYE,8.5
1992,ROIS,EAKI,8.5
1992,ROIS,BAOR,6.5
1992,ROIS,EUST,6.5
1992,ROIS,COGR,5
1992,ROIS,LEFL,5
1992,ROIS,WAVI,5
1992,ROIS,AMRE,3
1992,ROIS,GCFL,3
1992,ROIS,REVI,3
1992,ROIS,AGOL,2
1992,ROIS,BHCO,2
1992,ROIS,MODO,2
1992,ROIS,SWSP,2
1992,ROIS,AMRO,1
1992,ROIS,DOWO,1
1992,ROIS,NOFL,1
1992,ROIS,RTHA,1
1992,ROIS,GHOW,0.5
1992,TMSL,RWBL,11.5
1992,TMSL,COYE,9
1992,TMSL,NHWR,8.5
1992,TMSL,SOSP,8.5
1992,TMSL,COGR,6
1992,TMSL,YEWA,4.5
1992,TMSL,EAWP,4
1992,TMSL,FISP,3.5
1992,TMSL,BAOR,3
1992,TMSL,BCCH,3
1992,TMSL,BRTH,3
1992,TMSL,CHSP,3
1992,TMSL,GCFL,3
1992,TMSL,GRCA,3
1992,TMSL,MODO,3
1992,TMSL,TRES,3
1992,TMSL,EAKI,2.5
1992,TMSL,CARW,2
1992,TMSL,EATO,2
1992,TMSL,NOCA,2
1992,TMSL,SWSP,2
1992,TMSL,AGOL,1
1992,TMSL,AMWO,1
1992,TMSL,BHCO,1
1992,TMSL,CEDW,1
1992,TMSL,EUST,1
1992,TMSL,EWPW,1
1992,TMSL,INBU,1
1992,TMSL,MALL,1
1992,TMSL,VIRA,1
1992,TMSL,WODU,1
1992,TMSL,EAPH,0.5
1992,TMSL,NOFL,0.5
1993,IDSS,TRES,13.5
1993,IDSS,RWBL,9
1993,IDSS,CHSP,4
1993,IDSS,SOSP,4
1993,IDSS,EAKI,3.5
1993,IDSS,BRTH,3
1993,IDSS,COGR,3
1993,IDSS,EUST,2.5
1993,IDSS,FISP,2
1993,IDSS,KILL,2
1993,IDSS,AMRO,1
1993,IDSS,SPSA,1
1993,SRS1,RWBL,3.5
1993,SRS1,EAKI,1.5
1993,SRS1,KILL,1
1993,SRS1,SPSA,1
1993,SRS2,SOSP,2
1993,SRS2,CHSP,1
1993,SRS2,KILL,1
1993,SRS2,RWBL,0.5
1993,STDP,FISP,0.25
1993,STDP,RWBL,41
1993,STDP,SOSP,8.5
1993,STDP,COYE,6
1993,STDP,TRES,5.5
1993,STDP,EAKI,4
1993,STDP,BAOR,2
1993,STDP,COGR,2
1993,STDP,MODO,2
1993,STDP,YEWA,2
1993,STDP,NHWR,1.5
1993,STDP,CEDW,1
1993,WPWC,NHWR,27.5
1993,WPWC,GRCA,6
1993,WPWC,BAOR,5.5
1993,WPWC,CHSP,5.5
1993,WPWC,COYE,5.5
1993,WPWC,SOSP,5
1993,WPWC,TRES,4.5
1993,WPWC,MODO,4
1993,WPWC,EATO,3.5
1993,WPWC,FISP,3.5
1993,WPWC,EAWP,3
1993,WPWC,EWPW,3
1993,WPWC,RWBL,3
1993,WPWC,BCCH,2.5
1993,WPWC,GCFL,2.5
1993,WPWC,BHCO,2
1993,WPWC,CEDW,2
1993,WPWC,EAKI,1.5
1993,WPWC,EUST,1.5
1993,WPWC,NOCA,1.5
1993,WPWC,BLBW,1
1993,WPWC,BLJA,1
1993,WPWC,BRCR,1
1993,WPWC,CARW,1
1993,WPWC,COGR,1
1993,WPWC,CWWI,1
1993,WPWC,DOWO,1
1993,WPWC,LEFL,1
1993,WPWC,MAWA,1
1993,WPWC,NOFL,1
1993,WPWC,RBNU,1
1993,WPWC,REVI,1
1993,WPWC,WEVI,1
1993,WPWC,YBCU,1
1993,WPWC,AMRO,0.5
1993,WPWC,BRTH,0.5
1993,WPWC,MALL,0.5
1993,WPWC,YEWA,0.5
1994,ROMF,TRES,18.5
1994,ROMF,NHWR,14
1994,ROMF,EAWP,12
1994,ROMF,BAOR,9
1994,ROMF,RWBL,7
1994,ROMF,REVI,6
1994,ROMF,COYE,5
1994,ROMF,SOSP,4.5
1994,ROMF,YEWA,4.5
1994,ROMF,EUST,3.5
1994,ROMF,EAKI,3
1994,ROMF,GCFL,3
1994,ROMF,BHCO,2
1994,ROMF,DOWO,2
1994,ROMF,INBU,2
1994,ROMF,RBWO,2
1994,ROMF,WAVI,2
1994,ROMF,BCCH,1
1994,ROMF,BLJA,1
1994,ROMF,COGR,1
1994,ROMF,NOFL,1
1994,ROMF,RTHA,0.5
1994,ROMF,YBCU,1
1994,ROMF,AMRE,0.5
1994,ROMF,BGGN,0.5
1994,ROMF,RHWO,0.5
1994,ROMS,EAWP,13
1994,ROMS,RWBL,12.5
1994,ROMS,NHWR,12
1994,ROMS,SOSP,8
1994,ROMS,COYE,7.5
1994,ROMS,TRES,7
1994,ROMS,BAOR,6
1994,ROMS,YEWA,6
1994,ROMS,WAVI,3
1994,ROMS,BHCO,2
1994,ROMS,COGR,2
1994,ROMS,EAKI,2
1994,ROMS,EUST,2
1994,ROMS,GCFL,2
1994,ROMS,AMRO,1.5
1994,ROMS,AMRE,1
1994,ROMS,BCCH,1
1994,ROMS,BLJA,1
1994,ROMS,CEDW,1
1994,ROMS,DOWO,1
1994,ROMS,NOCA,1
1994,ROMS,NOFL,1
1994,ROMS,REVI,1
1994,ROMS,RHWO,1
1994,ROMS,WBNU,1
1994,ROMS,YBCU,1
1994,ROMS,GHOW,0.5
1994,ROWB,RWBL,16.5
1994,ROWB,NHWR,12
1994,ROWB,TRES,11
1994,ROWB,EAWP,10
1994,ROWB,YEWA,7.5
1994,ROWB,BAOR,6
1994,ROWB,WAVI,5.5
1994,ROWB,COYE,4.5
