uniqueID,sample,year,sitecode,species_4code_IBP,territories
1991_BGGR_ABDU,1991_BGGR,1991,BGGR,ABDU,0
1991_BGGR_AGOL,1991_BGGR,1991,BGGR,AGOL,0
1991_BGGR_AGOS,1991_BGGR,1991,BGGR,AGOS,0
1991_BGGR_AMBI,1991_BGGR,1991,BGGR,AMBI,0
1991_BGGR_AMCR,1991_BGGR,1991,BGGR,AMCR,0
1991_BGGR_AMKE,1991_BGGR,1991,BGGR,AMKE,0
1991_BGGR_AMRE,1991_BGGR,1991,BGGR,AMRE,0
1991_BGGR_AMRO,1991_BGGR,1991,BGGR,AMRO,0
1991_BGGR_AMWO,1991_BGGR,1991,BGGR,AMWO,0
1991_BGGR_BAEA,1991_BGGR,1991,BGGR,BAEA,0
1991_BGGR_BANS,1991_BGGR,1991,BGGR,BANS,4
1991_BGGR_BAOR,1991_BGGR,1991,BGGR,BAOR,0
1991_BGGR_BBCU,1991_BGGR,1991,BGGR,BBCU,0
1991_BGGR_BCCH,1991_BGGR,1991,BGGR,BCCH,0
1991_BGGR_BEKI,1991_BGGR,1991,BGGR,BEKI,0
1991_BGGR_BGGN,1991_BGGR,1991,BGGR,BGGN,0
1991_BGGR_BHCO,1991_BGGR,1991,BGGR,BHCO,0
1991_BGGR_BLBW,1991_BGGR,1991,BGGR,BLBW,0
1991_BGGR_BLJA,1991_BGGR,1991,BGGR,BLJA,0
1991_BGGR_BOBO,1991_BGGR,1991,BGGR,BOBO,0
1991_BGGR_BRCR,1991_BGGR,1991,BGGR,BRCR,0
1991_BGGR_BRTH,1991_BGGR,1991,BGGR,BRTH,1
1991_BGGR_BTNW,1991_BGGR,1991,BGGR,BTNW,0
1991_BGGR_CANG,1991_BGGR,1991,BGGR,CANG,0
1991_BGGR_CARW,1991_BGGR,1991,BGGR,CARW,0
1991_BGGR_CAWA,1991_BGGR,1991,BGGR,CAWA,0
1991_BGGR_CEDW,1991_BGGR,1991,BGGR,CEDW,0
1991_BGGR_CHSP,1991_BGGR,1991,BGGR,CHSP,1
