Orig Line,Full Site Name,Year at size,Area (ha) in year,Stage,Year,Species,# Territories,Number of visits,Census hours,Author1,Author2,Author3,Author4,Author5,Author6,Notes
1,Intergrading Dune - Swale Savannah,1965,19.51,Early,1965,EAKI,4.5,11,44.00,M. Cobus,T. Davis,G. Gairfield,G. Holroyd,R. Montgommery,,
2,Intergrading Dune - Swale Savannah,1965,19.51,Early,1965,FISP,3.0,11,44.00,M. Cobus,T. Davis,G. Gairfield,G. Holroyd,R. Montgommery,,
3,Intergrading Dune - Swale Savannah,1965,19.51,Early,1965,MALL,1.0,11,44.00,M. Cobus,T. Davis,G. Gairfield,G. Holroyd,R. Montgommery,,
4,Intergrading Dune - Swale Savannah,1965,19.51,Early,1965,KILL,1.0,11,44.00,M. Cobus,T. Davis,G. Gairfield,G. Holroyd,R. Montgommery,,
5,Intergrading Dune - Swale Savannah,1965,19.51,Early,1965,YSFL,1.0,11,44.00,M. Cobus,T. Davis,G. Gairfield,G. Holroyd,R. Montgommery,,
6,Intergrading Dune - Swale Savannah,1965,19.51,Early,1965,BRTH,1.0,11,44.00,M. Cobus,T. Davis,G. Gairfield,G. Holroyd,R. Montgommery,,
7,Intergrading Dune - Swale Savannah,1965,19.51,Early,1965,VESP,1.0,11,44.00,M. Cobus,T. Davis,G. Gairfield,G. Holroyd,R. Montgommery,,
8,Intergrading Dune - Swale Savannah,1965,19.51,Early,1965,CHSP,1.0,11,44.00,M. Cobus,T. Davis,G. Gairfield,G. Holroyd,R. Montgommery,,
9,Intergrading Dune - Swale Savannah,1965,19.51,Early,1965,EAME,0.5,11,44.00,M. Cobus,T. Davis,G. Gairfield,G. Holroyd,R. Montgommery,,
10,Intergrading Dune - Swale Savannah,1965,19.51,Early,1966,EAKI,3.0,8,,G. Fairfield,,,,,,"3 full, 5 partial visits"
11,Intergrading Dune - Swale Savannah,1965,19.51,Early,1966,CHSP,2.5,8,,G. Fairfield,,,,,,"3 full, 5 partial visits"
12,Intergrading Dune - Swale Savannah,1965,19.51,Early,1966,FISP,2.0,8,,G. Fairfield,,,,,,"3 full, 5 partial visits"
