veg_uniqueID,year,sitecode,post,species_7code_NHIC,s_wdystemcount,m_wdystemcount,t_wdystemcount,vt_wdystemcount,sap_wdystemcount,sap_dbh_m,sap_height_m,within_browse,above_browse
1992_DCSD_C11_PRUVIRG,1992,DCSD,C11,PRUVIRG,1,0,0,0,0,0,0,1,0
1992_DCSD_C11_VITRIPA,1992,DCSD,C11,VITRIPA,1,0,0,0,0,0,0,1,0
1992_DCSD_C14_VITRIPA,1992,DCSD,C14,VITRIPA,1,0,0,0,0,0,0,1,0
1992_DCSD_C4_ROSRUBI,1992,DCSD,C4,ROSRUBI,1,0,0,0,0,0,0,1,0
1992_DCSD_C4_VITRIPA,1992,DCSD,C4,VITRIPA,0,1,0,0,0,0,0,1,0
1992_SRS1_C14_HYPKALM,1992,SRS1,C14,HYPKALM,83,0,0,0,0,0,0,83,0
1992_SRS1_C20_HYPKALM,1992,SRS1,C20,HYPKALM,1,0,0,0,0,0,0,1,0
1992_RARO_B11_PRUSERO,1992,RARO,B11,PRUSERO,1,0,0,0,0,0,0,1,0
1992_RARO_B11_RUBIDAE,1992,RARO,B11,RUBIDAE,6,0,0,0,0,0,0,6,0
1992_RARO_B11_SASALBI,1992,RARO,B11,SASALBI,3,0,2,0,0,0,0,5,0
1992_RARO_B3_ACERUBR,1992,RARO,B3,ACERUBR,2,0,0,0,0,0,0,2,0
1992_RARO_B3_RUBIDAE,1992,RARO,B3,RUBIDAE,1,5,0,0,0,0,0,6,0
1992_RARO_B3_SASALBI,1992,RARO,B3,SASALBI,19,14,1,0,0,0,0,34,0
1992_RARO_B5_FRAXIN.,1992,RARO,B5,FRAXIN.,1,0,0,0,0,0,0,1,0
1992_RARO_B7_RUBIDAE,1992,RARO,B7,RUBIDAE,1,0,0,0,0,0,0,1,0
1992_RARO_B9_ACERUBR,1992,RARO,B9,ACERUBR,1,0,0,0,0,0,0,1,0
1992_RARO_B9_FRAXIN.,1992,RARO,B9,FRAXIN.,11,0,0,0,0,0,0,11,0
1992_RARO_B9_PRUSERO,1992,RARO,B9,PRUSERO,8,0,0,0,0,0,0,8,0
1992_RARO_C6_OSTVIRG,1992,RARO,C6,OSTVIRG,2,0,0,0,0,0,0,2,0
1992_RARO_C6_SASALBI,1992,RARO,C6,SASALBI,98,34,3,0,0,0,0,135,0
1992_RARO_C8_DECVERT,1992,RARO,C8,DECVERT,29,113,4,0,0,0,0,146,0
1992_ROMS_C1_ACESACC,1992,ROMS,C1,ACESACC,2,0,0,0,0,0,0,2,0
1992_ROMS_C3_ACERUBR,1992,ROMS,C3,ACERUBR,3,0,0,0,0,0,0,3,0
1992_ROMS_C3_ROSRUBI,1992,ROMS,C3,ROSRUBI,0,1,0,0,0,0,0,1,0
1992_ROMS_C5_ACESACC,1992,ROMS,C5,ACESACC,1,0,0,0,0,0,0,1,0
1992_ROMS_C7_QUERUBR,1992,ROMS,C7,QUERUBR,1,0,0,0,0,0,0,1,0
1992_ROMS_C7_TILAMER,1992,ROMS,C7,TILAMER,4,0,0,0,0,0,0,4,0
1992_ROMS_C9_OSTVIRG,1992,ROMS,C9,OSTVIRG,6,0,0,0,0,0,0,6,0
1992_ROMS_D10_PRUSERO,1992,ROMS,D10,PRUSERO,2,0,0,0,0,0,0,2,0
1992_ROMS_D2_CEPOCCI,1992,ROMS,D2,CEPOCCI,1,5,2,0,0,0,0,8,0
1992_ROMS_D2_DECVERT,1992,ROMS,D2,DECVERT,23,99,16,0,0,0,0,138,0
1992_ROMS_D4_ROSRUBI,1992,ROMS,D4,ROSRUBI,0,1,5,0,0,0,0,6,0
1992_ROMS_D6_ACESACC,1992,ROMS,D6,ACESACC,1,0,0,0,0,0,0,1,0
1992_ROMS_D6_OSTVIRG,1992,ROMS,D6,OSTVIRG,1,0,0,0,0,0,0,1,0
1992_ROMS_D6_PRUSERO,1992,ROMS,D6,PRUSERO,34,0,0,0,0,0,0,34,0
1992_ROMS_D6_QUERUBR,1992,ROMS,D6,QUERUBR,2,0,0,0,0,0,0,2,0
1992_ROMS_D8_ACERUBR,1992,ROMS,D8,ACERUBR,1,0,0,0,0,0,0,1,0
1992_ROMS_D8_OSTVIRG,1992,ROMS,D8,OSTVIRG,2,0,0,0,0,0,0,2,0
1992_ROMS_D8_RUBIDAE,1992,ROMS,D8,RUBIDAE,14,9,0,0,0,0,0,23,0
1992_ROSF_C10_ACERUBR,1992,ROSF,C10,ACERUBR,6,0,0,0,0,0,0,6,0
1992_ROSF_C10_ACESACC,1992,ROSF,C10,ACESACC,4,0,0,0,0,0,0,4,0
1992_ROSF_C10_OSTVIRG,1992,ROSF,C10,OSTVIRG,1,0,0,0,0,0,0,1,0
1992_ROSF_C10_PRUSERO,1992,ROSF,C10,PRUSERO,5,0,0,0,0,0,0,5,0
1992_ROSF_C2_ACESACC,1992,ROSF,C2,ACESACC,1,0,0,0,0,0,0,1,0
1992_ROSF_C4_ACESACC,1992,ROSF,C4,ACESACC,3,0,0,0,0,0,0,3,0
1992_ROSF_C6_ACERUBR,1992,ROSF,C6,ACERUBR,8,0,0,0,0,0,0,8,0
1992_ROSF_C6_ACESACC,1992,ROSF,C6,ACESACC,1,0,0,0,0,0,0,1,0
1992_ROSF_C6_DECVERT,1992,ROSF,C6,DECVERT,4,7,3,0,0,0,0,14,0
1992_ROSF_C6_OSTVIRG,1992,ROSF,C6,OSTVIRG,4,1,0,0,0,0,0,5,0
1992_ROSF_C6_PRUSERO,1992,ROSF,C6,PRUSERO,2,0,0,0,0,0,0,2,0
