site_size_ha,site_code_abcd,site_name,sampling_year_yyyy,year_site,species_banding_code_abcd,species_common_name,breeding_territories,tree_density
13.7,BGGR,Bluegrass - Milkweed Grassland,1991,1991_BGGR,BANS,Bank Swallow,4,4.379562044
13.7,BGGR,Bluegrass - Milkweed Grassland,1991,1991_BGGR,BRTH,Brown Thrasher,1,4.379562044
13.7,BGGR,Bluegrass - Milkweed Grassland,1991,1991_BGGR,CHSP,Chipping Sparrow,1,4.379562044
13.7,BGGR,Bluegrass - Milkweed Grassland,1991,1991_BGGR,EAKI,Eastern Kingbird,0.5,4.379562044
13.7,BGGR,Bluegrass - Milkweed Grassland,1991,1991_BGGR,EAME,Eastern Meadowlark,2.5,4.379562044
13.7,BGGR,Bluegrass - Milkweed Grassland,1991,1991_BGGR,EUST,European Starling,1,4.379562044
13.7,BGGR,Bluegrass - Milkweed Grassland,1991,1991_BGGR,FISP,Field Sparrow,4,4.379562044
13.7,BGGR,Bluegrass - Milkweed Grassland,1991,1991_BGGR,KILL,Killdeer,2,4.379562044
13.7,BGGR,Bluegrass - Milkweed Grassland,1991,1991_BGGR,NRWS,Northern Rough-winged Swallow,1,4.379562044
13.7,BGGR,Bluegrass - Milkweed Grassland,1991,1991_BGGR,RWBL,Red-winged Blackbird,14,4.379562044
13.7,BGGR,Bluegrass - Milkweed Grassland,1991,1991_BGGR,SOSP,Song Sparrow,2.5,4.379562044
13.7,BGGR,Bluegrass - Milkweed Grassland,1991,1991_BGGR,TRES,Tree Swallow,0.25,4.379562044
11.3,DCJS,Dry Cottonwood - Juniper Savannah,1991,1991_DCJS,AMCR,American Crow,1,1.934960082
11.3,DCJS,Dry Cottonwood - Juniper Savannah,1991,1991_DCJS,CHSP,Chipping Sparrow,5.5,1.934960082
11.3,DCJS,Dry Cottonwood - Juniper Savannah,1991,1991_DCJS,EUST,European Starling,2,1.934960082
11.3,DCJS,Dry Cottonwood - Juniper Savannah,1991,1991_DCJS,FISP,Field Sparrow,1,1.934960082
11.3,DCJS,Dry Cottonwood - Juniper Savannah,1991,1991_DCJS,HOWR,House Wren,4.5,1.934960082
11.3,DCJS,Dry Cottonwood - Juniper Savannah,1991,1991_DCJS,NOFL,Northern Flicker,1,1.934960082
11.3,DCJS,Dry Cottonwood - Juniper Savannah,1991,1991_DCJS,NOMO,Northern Mockingbird,1,1.934960082
11.3,DCJS,Dry Cottonwood - Juniper Savannah,1991,1991_DCJS,RWBL,Red-winged Blackbird,1,1.934960082
11.3,DCJS,Dry Cottonwood - Juniper Savannah,1991,1991_DCJS,SOSP,Song Sparrow,3,1.934960082
11.3,DCJS,Dry Cottonwood - Juniper Savannah,1991,1991_DCJS,TRES,Tree Swallow,6,1.934960082
10.2,DCSD,Dry Cottonwood Sand Dune,1991,1991_DCSD,BAOR,Baltimore Oriole,0.5,26.43373759
10.2,DCSD,Dry Cottonwood Sand Dune,1991,1991_DCSD,CHSP,Chipping Sparrow,2,26.43373759
10.2,DCSD,Dry Cottonwood Sand Dune,1991,1991_DCSD,EAKI,Eastern Kingbird,3.5,26.43373759
10.2,DCSD,Dry Cottonwood Sand Dune,1991,1991_DCSD,FISP,Field Sparrow,1,26.43373759
10.2,DCSD,Dry Cottonwood Sand Dune,1991,1991_DCSD,HOWR,House Wren,1,26.43373759
10.2,DCSD,Dry Cottonwood Sand Dune,1991,1991_DCSD,RWBL,Red-winged Blackbird,4,26.43373759
10.2,DCSD,Dry Cottonwood Sand Dune,1991,1991_DCSD,TRES,Tree Swallow,3.5,26.43373759
10.9,IDSS,Intergrading Dune - Swale Savannah,1991,1991_IDSS,BOBO,Bobolink,1,2.772166673
10.9,IDSS,Intergrading Dune - Swale Savannah,1991,1991_IDSS,CHSP,Chipping Sparrow,5,2.772166673
10.9,IDSS,Intergrading Dune - Swale Savannah,1991,1991_IDSS,EAKI,Eastern Kingbird,3,2.772166673
