site,ABDU,AMBI,AMCR,AMGO,AMKE,AMRE,AMRO,AMWO,BAEA,BANS,BAOR,BBCU,BCCH,BEKI,BGGN,BHCO,BLBW,BLJA,BOBO,BRCR,BRTH,BTNW,CAGO,CARW,CAWA,CEDW,CHSP,CHSW,COGR,COHA,CONI,COYE,CSWA,CWWI,DOWO,EABL,EAKI,EAME,EAPH,EASO,EATO,EAWP,EUST,EWPW,FISP,GCFL,GHOW,GRCA,GRHE,HAWO,HOFI,HOME,HOWR,INBU,KILL,LEBI,LEFL,MALL,MAWA,MAWR,MODO,NOCA,NOFL,NOGO,NOMO,NRWS,NSWO,OROR,PBGR,PIWA,PROW,RBGR,RBNU,RBWO,REVI,RHWO,RTHA,RTHU,RWBL,SCTA,SORA,SOSP,SPSA,SSHA,SWSP,TRES,VEER,VIRA,WAVI,WBNU,WEVI,WIFL,WISN,WITU,WIWR,WODU,WTSP,YBCU,YTVI,YWAR
1991_DCJS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991_DCSD,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991_IDSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991_RARO,0,0,0,2,0,0,0,1,0,0,6,0,1.5,0,0,3.5,0,1,0,0,0,0,0,0,0,0,0,0,4.5,0,0,7,0,0,2,0,5,0,0,0,1,9,5.5,0,2.5,2,0.25,1,0,1,0,0,11.5,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,18,0,0,14,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,9.5
1991_ROIS,0,0,0,4,0,3,1,0,0,0,5.5,0,3,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,5.5,0,0,9,0,0,2.5,0,7.5,0,0,0,0,14.5,7.5,0,0,2,1,0,0,0,0,0,12.5,0,0,0,4,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,28,0,0,19.5,0,0,1,8,0,0,5.5,0,0,0,0,0,0,0,0,0,0,11.5
1991_ROMS,0,0,0,0,0,4,3,1,0,0,8,0,2,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,4.5,0,0,8.5,0,0,2,0,4.5,0,0,0,0,11.5,6.5,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,21.5,0,0,15,0,0,0,6,0,0,4,1,0,0,0,0,0,0,0,0,0,13
1991_ROSF,0,0,0,0,0,0,2,1,0,0,11,0,2.5,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,4.5,0,0,4.5,0,6.5,0,0,0,2,9,2,0,0,4.5,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,2,9,1,0,0,15,0,0,11.5,0,0,0,11,0,0,0,2,0,0,0,0,0,0,0,0,0,5.5
1991_ROWB,0,0,0,0.5,0,0,2.5,0,0,0,4,0,0,0,1,1,0,1,0,0,0,0.25,0,0,0,0,1,0,2,0,0,4,0,0,1,0,2,0,0,0,0,3,1,1,0,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,0,0,3,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,2.5
1991_ROWP,1,0,0,2,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0.5,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,23,0,0,16,0,0,0,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5
1991_STDP,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,9,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5
