sp_code,sp_common_name_text_format_nhic,sp_scientific_name_NHIC,hab_guild,food_item,nest_guild,forage_behavior,cons_status,bird_S_rank,bird_SARO_status,bird_COSEWIC_status,bird_SARA_status,bird_exotic_status,order,family,genus,coeff_wetness,food_foraging_guild_degraaf,habitat_foraging_guild_degraaf,behaviour_foraging_guild_degraaf,food_foraging_guild_degraaf_2,habitat_foraging_guild_degraaf_2,behaviour_foraging_guild_degraaf_2,food_foraging_guild_degraaf_3,habitat_foraging_guild_degraaf_3,behaviour_foraging_guild_degraaf_3,(g),",+/- SD", N  ,,(g),Month(s),Full Literature Citation,N,,(g),(+/- sd),N
AMBI,American bittern,Botaurus lentiginosus,marshes,fish,ground,stalking,low concern,S5B,,,,,Pelecaniformes,Ardeidae,Botaurus,W,Carnivore,water,ambusher,Insectivore,water,ambusher,Crustaeeovore,water,ambusher,,,,,,,,,,,,
ABDU,American black duck,Anas rubripes,lakes and ponds,insects,ground,dabbler,low concern,S4,,,,,Anseriformes,Anatidae,Anas,W,Omnivore,water,dabbler,,,,,,,no data on lpbo banding ,0,0,0,1204,All months,"Longcore, J. R., D. G. McAuley, G. R. Hepp, and J. M. Rhymer (2000). American Black Duck (Anas rubripes), version 2.0. In The Birds of North America (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bna.481",Males=222 Females=227,0,1204,0,449
AMCR,American crow,Corvus brachyrhynchos,open woodlands,omnivore,tree,ground forager,low concern,S5,,,,,Passeriformes,Corvidae,Corvus,,Omnivore,ground,forager,,,,,,,no data on lpbo banding ,0,0,0,506,December - February,"Black, C. T. (1941). Ecological and economic relations of the crow, with special reference to Illinois. Phd Thesis, Univ. of Illinois, Urbana.",Males=248 Females=245,0,506,0,493
AMGO,American goldfinch,Spinus tristis,open woodlands,seeds,shrub,foliage gleaner,low concern,S5,,,,,Passeriformes,Fringillidae,Spinus,,Omnivore,lower-canopy,forager,,ground,forager,,,,13,2,11203,0,12,Summer,"McGraw, K. J. and A. L. Middleton (2017). American Goldfinch (Spinus tristis), version 2.1. In The Birds of North America (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bna.amegfi.02.1 ",Males=1448 Females=756,0,13,2,11203
NOGO,American goshawk,Accipiter atricapillus,forests,birds,tree,aerial dive,low concern,S4,NAR,NAR,,,Accipitriformes,Accipitridae,Accipiter,,Carnivore,air,hawker,,ground,hawker,,,,,,,,,,,,,,,
AMKE,American kestrel,Falco sparverius,grasslands,small animals,cavity,aerial dive,low concern,S4,,,,,Falconiformes,Falconidae,Falco,,Insectivore,air,hawker,,,,,,,124,11,4,0,Males 111 +- 9.3SD Females 120 +- 9.2SD,all months,"Smallwood, J. A. and D. M. Bird (2002). American Kestrel (Falco sparverius), version 2.0. In The Birds of North America (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bna.602 ",69males 111females,0,124,11,4
AMRE,American redstart,Setophaga ruticilla,forests,insects,tree,foliage gleaner,low concern,S5B,,,,,Passeriformes,Parulidae,Setophaga,,Insectivore,lower-canopy,gleaner,,air,sallier,,,,8,1,4359,0,"Summer males 8.6 +- 0.5, Winter males 7.2 +- 0.3, summer females 8.7 +- 0.2, winter females 6.8 +- 0.4",all months,"Sherry, T. W., R. T. Holmes, P. Pyle, and M. A. Patten (2016). American Redstart (Setophaga ruticilla), version 3.0. In The Birds of North America (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bna.amered.03 ","Summer males n=71, winter males n=86, summer females n=80, winter females n=44",0,8,1,4359
AMRO,American robin,Turdus migratorius,open woodlands,insects,tree,ground forager,low concern,S5,,,,,Passeriformes,Turdidae,Turdus,,Vermivore,ground,gleaner,,,,,,,78,15,2478,0,77.3 +- 0.36SD,all months,"Vanderhoff, N., P. Pyle, M. A. Patten, R. Sallabanks, and F. C. James (2016). American Robin (Turdus migratorius), version 2.0. In The Birds of North America (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bna.462 ",n=401,0,78,15,2478
AMWO,American woodcock,Scolopax minor,forests,insects,ground,probing,declining,S4B,,,,,Charadriiformes,Scolopacidae,Scolopax,,Vermivore,ground,probe,,,,,,,161,26,90,0,Male 137 +/- 1 Female 213 +/- 5,May,"Owen, R. B., Jr., and Krohn, W. B., (1973). Molt patterns and weight changes of the American Woodcock, Wilson Bull. 85:31–41.",Male=115 Female=9,0,161,26,90
BAEA,bald eagle,Haliaeetus leucocephalus,forests,fish,tree,soaring,low concern,S4,NAR,NAR,,,Accipitriformes,Accipitridae,Haliaeetus,W,Piscivore,water,foot-plunger,Carnivore,ground,scavenger,,,,,,,,,,,,,,,
BAOR,Baltimore oriole,Icterus galbula,forests,insects,tree,foliage gleaner,low concern,S4B,,,,,Passeriformes,Icteridae,Icterus,,Omnivore,upper-canopy,forager,,,,,,,34,3,5450,0," Adult (after-second-year) male: mean 35.2 g ± 2.51 SD (range 31.1-40.0, n = 14; May). Yearling male: mean 33.8 g ± 2.53 SD (range 31.3-36.2, n = 9; May). Adult female: mean 33.2 g ± 2.87 SD (range 28.1-41.3, n = 49; May). Hatch-year (sex unknown): mean 33.0 g ± 3.00 SD (range 30.0-38.9, n = 9; Aug",May-Aug,"Rising, J. D. and N. J. Flood (1998). Baltimore Oriole (Icterus galbula), version 2.0. In The Birds of North America (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bna.384 ",ASY males n=14                Yearling males n=9                  Adult females n=49                HYs sex unknown n=9,0,34,3,5450
BANS,bank swallow,Riparia riparia,lakes and ponds,insects,burrow,aerial forager,common bird in steep decline,S4B,THR,THR,Threatened/Menacée,,Passeriformes,Hirundinidae,Riparia,,Insectivore,air,screener,,,,,,,14,1,588,0,"Weight of male testes averaged 87.6 mg (range 46.2-163.7, n = 32) during entire breeding season, peaking during egg-laying and incubation periods (Petersen 1955). Female ovary weight averaged 261.8 mg ± 231.7 SD (range 22.0-778.3, n = 18) during nest-building and egg-laying periods, 31.3 mg (range 16.2-52.1, n = 28) during incubation period, and 22.4 mg (range 6.6-44.1, n = 31) during brooding period","Breeding season of Bank Swallows, April - July","Garrison, B. A. (1999). Bank Swallow (Riparia riparia), version 2.0. In The Birds of North America (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bna.414 ",Male samples n=32                 Female ovary weight samples n=18                During nest building and egg-laying n=28                 During incubation period n=31,0,14,1,588
BEKI,belted kingfisher,Megaceryle alcyon,lakes and ponds,fish,burrow,aerial dive,low concern,"S5B,S4N",,,,,Coraciiformes,Alcedinidae,Megaceryle,,Piscivore,water,plunger,,,,,,,,,,,,,,,,,,
BBCU,black-billed cuckoo,Coccyzus erythropthalmus,forests,insects,tree,foliage gleaner,declining,S4S5B,,,,,Cuculiformes,Cuculidae,Coccyzus,,Insectivore,lower-canopy,gleaner,,,,,,,,,,,,,,,,,,
BLBW,blackburnian warbler,Setophaga fusca,forests,insects,tree,foliage gleaner,low concern,S5B,,,,,Passeriformes,Parulidae,Setophaga,,Insectivore,upper-canopy,gleaner,,,,,,,10,1,1083,0,Males 9.5-12.6(g)     Females 8.9-11.9(g),Aug-Nov,"Morse, D. H. (2004). Blackburnian Warbler (Setophaga fusca), version 2.0. In The Birds of North America (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bna.102 ",Males n=5        Females n=5,0,10,1,1083
BCCH,black-capped chickadee,Poecile atricapillus,forests,insects,cavity,foliage gleaner,low concern,S5,,,,,Passeriformes,Paridae,Poecile,,Insectivore,lower-canopygleaner,gleaner,,,,,,,11,1,752,0,mass 10–14 g,0,"Foote, J. R., D. J. Mennill, L. M. Ratcliffe, and S. M. Smith (2010). Black-capped Chickadee (Poecile atricapillus), version 2.0. In The Birds of North America (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bna.39 ",0,0,11,1,752
BTNW,black-throated green warbler,Setophaga virens,forests,insects,tree,foliage gleaner,low concern,S5B,,,,,Passeriformes,Parulidae,Setophaga,,Insectivore,upper-canopy,gleaner,,,,,,,9,2,1629,0,Males 8.3-10.9(g). Females 7.5-11.2(g).,0,"Morse, D. H. and A. F. Poole (2005). Black-throated Green Warbler (Setophaga virens), version 2.0. In The Birds of North America (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bna.55 ",Males n=9. Females n=7.,0,9,2,1629
BLJA,blue jay,Cyanocitta cristata,forests,omnivore,tree,ground forager,low concern,S5,,,,,Passeriformes,Corvidae,Cyanocitta,,Omnivore,ground,forager,,upper-canopy,forager,,,,85,7,22946,0,Mass of AHY jays from Connecticut averaged 92.4 g ± 7.4 SD (n = 40),0,"Smith, K. G., K. A. Tarvin, and G. E. Woolfenden (2013). Blue Jay (Cyanocitta cristata), version 2.0. In The Birds of North America (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bna.469 ",AHY n=40,0,85,7,22946
