site,site_tree_density_ha,site_size
1991_DCJS,1.93,11.3
1991_DCSD,26.43,10.2
1991_IDSS,2.77,10.9
1991_RARO,13.78,13.1
1991_ROIS,4.8,9.2
1991_ROMS,7.34,7.9
1991_ROSF,16.57,12.5
1991_ROWB,11.56,8.9
1991_ROWP,6.54,11.4
1991_STDP,3.43,15
1991_TMSL,32.21,11
1991_WPWC,46.34,12.8
2021_BGGR,2.61,13.7
2021_DCJS,17.56,11.3
2021_DCSD,33.05,10.2
2021_IDSS,33.34,10.9
2021_RARO,41.82,13.1
2021_ROIS,10.61,9.2
2021_ROMS,22.54,7.9
2021_ROSF,30.5,12.5
2021_ROWB,13.96,8.9
2021_ROWP,27.55,11.4
2021_SRS1,2.77,13.6
2021_SRS2,4.52,14.6
2021_STDP,8.6,15
2021_TMSL,110.29,11
2021_WPWC,65.65,12.8
