sampleyear,sitecode,speciescode,territoryabundance,territorybiomass,sitetype,sitesize,woodcountbelowbrowse,woodcountabovebrowse
1995,BGGR,BHCO,1,46.33458,terrestrial,13.7,267,0
1995,BGGR,COYE,2,20.91134,terrestrial,13.7,267,0
1995,BGGR,EAKI,3,118.5135,terrestrial,13.7,267,0
1995,BGGR,EAME,2,168.4,terrestrial,13.7,267,0
1995,BGGR,FISP,7.5,90.26385,terrestrial,13.7,267,0
1995,BGGR,KILL,3,175.87557,terrestrial,13.7,267,0
1995,BGGR,NRWS,2,32.30788,terrestrial,13.7,267,0
1995,BGGR,RWBL,12,696.23916,terrestrial,13.7,267,0
1995,BGGR,SOSP,10,206.8459,terrestrial,13.7,267,0
1995,BGGR,TRES,3,64.64595,terrestrial,13.7,267,0
1995,BGGR,YEWA,1,9.732882,terrestrial,13.7,267,0
1998,BGGR,BANS,2,27.9983,terrestrial,13.7,738,0
1998,BGGR,BAOR,1,34.11916,terrestrial,13.7,738,0
1998,BGGR,BRTH,0.5,34.04723,terrestrial,13.7,738,0
1998,BGGR,CHSP,2,24.36964,terrestrial,13.7,738,0
1998,BGGR,COYE,2,20.91134,terrestrial,13.7,738,0
1998,BGGR,EAKI,3.5,138.26575,terrestrial,13.7,738,0
1998,BGGR,EAME,1,84.2,terrestrial,13.7,738,0
1998,BGGR,FISP,6.5,78.22867,terrestrial,13.7,738,0
1998,BGGR,GRCA,1,35.68485,terrestrial,13.7,738,0
1998,BGGR,KILL,1,58.62519,terrestrial,13.7,738,0
1998,BGGR,MODO,1,131.5216,terrestrial,13.7,738,0
1998,BGGR,NOFL,1,127.1227,terrestrial,13.7,738,0
1998,BGGR,RWBL,4,232.07972,terrestrial,13.7,738,0
1998,BGGR,SOSP,3.5,72.396065,terrestrial,13.7,738,0
1998,BGGR,TRES,3,64.64595,terrestrial,13.7,738,0
2003,BGGR,BANS,2,27.9983,terrestrial,13.7,255,0
2003,BGGR,BAOR,1.5,51.17874,terrestrial,13.7,255,0
2003,BGGR,CHSP,3,36.55446,terrestrial,13.7,255,0
2003,BGGR,COYE,4,41.82268,terrestrial,13.7,255,0
2003,BGGR,EAKI,3,118.5135,terrestrial,13.7,255,0
2003,BGGR,EUST,1,77.06771,terrestrial,13.7,255,0
