monitoring_year,site_code,sp_code4,number_territories,monitoring_biomass_g,sitetype,sitesize,woodbelowbrowse,woodabovebrowse
1991,BGGR,BANS,4.00,56.00,terrestrial,13.70,to delete,to delete
1991,BGGR,BRTH,1.00,68.09,terrestrial,13.70,to delete,to delete
1991,BGGR,CHSP,1.00,12.18,terrestrial,13.70,to delete,to delete
1991,BGGR,EAKI,0.50,19.75,terrestrial,13.70,to delete,to delete
1991,BGGR,EAME,2.50,210.50,terrestrial,13.70,to delete,to delete
1991,BGGR,EUST,1.00,77.07,terrestrial,13.70,to delete,to delete
1991,BGGR,FISP,4.00,48.14,terrestrial,13.70,to delete,to delete
1991,BGGR,KILL,2.00,117.25,terrestrial,13.70,to delete,to delete
1991,BGGR,NRWS,1.00,16.15,terrestrial,13.70,to delete,to delete
1991,BGGR,RWBL,14.00,812.28,terrestrial,13.70,to delete,to delete
1991,BGGR,SOSP,2.50,51.71,terrestrial,13.70,to delete,to delete
1991,BGGR,TRES,0.25,5.39,terrestrial,13.70,to delete,to delete
1995,BGGR,BHCO,1.00,46.33,terrestrial,13.70,267.00,0.00
1995,BGGR,COYE,2.00,20.91,terrestrial,13.70,267.00,0.00
1995,BGGR,EAKI,3.00,118.51,terrestrial,13.70,267.00,0.00
1995,BGGR,EAME,2.00,168.40,terrestrial,13.70,267.00,0.00
1995,BGGR,FISP,7.50,90.26,terrestrial,13.70,267.00,0.00
1995,BGGR,KILL,3.00,175.88,terrestrial,13.70,267.00,0.00
1995,BGGR,NRWS,2.00,32.31,terrestrial,13.70,267.00,0.00
1995,BGGR,RWBL,12.00,696.24,terrestrial,13.70,267.00,0.00
1995,BGGR,SOSP,10.00,206.85,terrestrial,13.70,267.00,0.00
1995,BGGR,TRES,3.00,64.65,terrestrial,13.70,267.00,0.00
1995,BGGR,YEWA,1.00,9.73,terrestrial,13.70,267.00,0.00
1998,BGGR,BANS,2.00,28.00,terrestrial,13.70,738.00,0.00
1998,BGGR,BAOR,1.00,34.12,terrestrial,13.70,738.00,0.00
1998,BGGR,BRTH,0.50,34.05,terrestrial,13.70,738.00,0.00
1998,BGGR,CHSP,2.00,24.37,terrestrial,13.70,738.00,0.00
1998,BGGR,COYE,2.00,20.91,terrestrial,13.70,738.00,0.00
1998,BGGR,EAKI,3.50,138.27,terrestrial,13.70,738.00,0.00
1998,BGGR,EAME,1.00,84.20,terrestrial,13.70,738.00,0.00
1998,BGGR,FISP,6.50,78.23,terrestrial,13.70,738.00,0.00
1998,BGGR,GRCA,1.00,35.68,terrestrial,13.70,738.00,0.00
1998,BGGR,KILL,1.00,58.63,terrestrial,13.70,738.00,0.00
1998,BGGR,MODO,1.00,131.52,terrestrial,13.70,738.00,0.00
1998,BGGR,NOFL,1.00,127.12,terrestrial,13.70,738.00,0.00
1998,BGGR,RWBL,4.00,232.08,terrestrial,13.70,738.00,0.00
1998,BGGR,SOSP,3.50,72.40,terrestrial,13.70,738.00,0.00
1998,BGGR,TRES,3.00,64.65,terrestrial,13.70,738.00,0.00
2003,BGGR,BANS,2.00,28.00,terrestrial,13.70,255.00,0.00
2003,BGGR,BAOR,1.50,51.18,terrestrial,13.70,255.00,0.00
2003,BGGR,CHSP,3.00,36.55,terrestrial,13.70,255.00,0.00
2003,BGGR,COYE,4.00,41.82,terrestrial,13.70,255.00,0.00
2003,BGGR,EAKI,3.00,118.51,terrestrial,13.70,255.00,0.00
2003,BGGR,EUST,1.00,77.07,terrestrial,13.70,255.00,0.00
2003,BGGR,FISP,6.00,72.21,terrestrial,13.70,255.00,0.00
2003,BGGR,KILL,3.00,175.88,terrestrial,13.70,255.00,0.00
2003,BGGR,MODO,2.00,263.04,terrestrial,13.70,255.00,0.00
2003,BGGR,NOFL,1.00,127.12,terrestrial,13.70,255.00,0.00
2003,BGGR,NOMO,2.00,96.09,terrestrial,13.70,255.00,0.00
2003,BGGR,NRWS,3.00,48.46,terrestrial,13.70,255.00,0.00
2003,BGGR,RWBL,4.00,232.08,terrestrial,13.70,255.00,0.00
2003,BGGR,SOSP,3.00,62.05,terrestrial,13.70,255.00,0.00
2003,BGGR,TRES,2.00,43.10,terrestrial,13.70,255.00,0.00
2003,BGGR,YEWA,2.00,19.47,terrestrial,13.70,255.00,0.00
2008,BGGR,AGOL,1.00,12.84,terrestrial,13.70,362.00,0.00
2008,BGGR,AMWO,1.00,161.17,terrestrial,13.70,362.00,0.00
2008,BGGR,BAOR,1.00,34.12,terrestrial,13.70,362.00,0.00
2008,BGGR,BRTH,0.50,34.05,terrestrial,13.70,362.00,0.00
