unique,sampling_year_yyyy,site_size_ha,site_code_abcd,site_name
1991 ROMS,1991,7.9,ROMS,Red Oak - Sugar Maple Savannah
1991 ROWB,1991,8.9,ROWB,Red Oak - White Birch Savannah
1991 ROIS,1991,9.2,ROIS,Red Oak - Ironwood Savannah
1991 DCSD,1991,10.2,DCSD,Dry Cottonwood Sand Dune
1991 IDSS,1991,10.9,IDSS,Intergrading Dune - Swale Savannah
1991 TMSL,1991,11,TMSL,Tamarack Slough
1991 DCJS,1991,11.3,DCJS,Dry Cottonwood - Juniper Savannah
1991 ROWP,1991,11.4,ROWP,Red Oak - White Pine Savannah
1991 ROMF,1991,12.5,ROMF,Red Oak - Sugar Maple Forest
1991 WPWC,1991,12.8,WPWC,White Pine - White Cedar Savannah
1991 RARO,1991,13.1,RARO,Red Ash - Red Oak Savannah
1991 SRS1,1991,13.6,SRS1,Sedge - Rush Swale #1
1991 BGGR,1991,13.7,BGGR,Bluegrass - Milkweed Grassland
1991 SRS2,1991,14.6,SRS2,Sedge - Rush Swale #2
1991 STDP,1991,15,STDP,Sedge - Tamarack Dune Pond
1992 ROIS,1992,9.2,ROIS,Red Oak - Ironwood Savannah
1992 DCSD,1992,10.2,DCSD,Dry Cottonwood Sand Dune
1992 TMSL,1992,11,TMSL,Tamarack Slough
1992 RARO,1992,13.1,RARO,Red Ash - Red Oak Savannah
1993 IDSS,1993,10.9,IDSS,Intergrading Dune - Swale Savannah
1993 WPWC,1993,12.8,WPWC,White Pine - White Cedar Savannah
1993 SRS1,1993,13.6,SRS1,Sedge - Rush Swale #1
1993 SRS2,1993,14.6,SRS2,Sedge - Rush Swale #2
1993 STDP,1993,15,STDP,Sedge - Tamarack Dune Pond
1994 ROMS,1994,7.9,ROMS,Red Oak - Sugar Maple Savannah
1994 ROWB,1994,8.9,ROWB,Red Oak - White Birch Savannah
1994 ROWP,1994,11.4,ROWP,Red Oak - White Pine Savannah
1994 ROMF,1994,12.5,ROMF,Red Oak - Sugar Maple Forest
1995 IDSS,1995,10.9,IDSS,Intergrading Dune - Swale Savannah
1995 DCJS,1995,11.3,DCJS,Dry Cottonwood - Juniper Savannah
1995 WPWC,1995,12.8,WPWC,White Pine - White Cedar Savannah
1995 BGGR,1995,13.7,BGGR,Bluegrass - Milkweed Grassland
1996 ROIS,1996,9.2,ROIS,Red Oak - Ironwood Savannah
1996 DCSD,1996,10.2,DCSD,Dry Cottonwood Sand Dune
1996 TMSL,1996,11,TMSL,Tamarack Slough
1996 RARO,1996,13.1,RARO,Red Ash - Red Oak Savannah
