record,sampling_year_yyyy,site_code_abcd,ABDU,AMBI,AMCR,AMGO,AMRE,AMRO,AMWO,BAEA,BANS,BAOR,BBCU,BCCH,BGGN,BHCO,BLJA,BOBO,BRTH,CAGO,CARW,CAWA,CEDW,CHSP,CHSW,COGR,COYE,CSWA,CWWI,DOWO,EABL,EAKI,EAME,EASO,EATO,EAWP,EUST,EWPW,FISP,GCFL,GHOW,GRCA,GRHE,HAWO,HOME,HOWR,INBU,KILL,LEBI,LEFL,MALL,MAWR,MODO,NOCA,NOFL,NOMO,NRWS,OROR,PBGR,PIWA,PROW,RBGR,RBNU,RBWO,REVI,RHWO,RTHA,RTHU,RWBL,SCTA,SOSP,SPSA,SSHA,SWSP,TRES,VIRA,WAVI,WBNU,WEVI,WIFL,WISN,WITU,WODU,YBCU,YWAR
1,1991,BGGR,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,1,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1991,DCJS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0
3,1991,DCSD,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
4,1991,IDSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0
5,1991,RARO,0,0,0,2,0,0,1,0,0,6,0,2,0,4,1,0,0,0,0,0,0,0,0,5,7,0,0,2,0,5,0,0,1,9,6,0,3,2,0,1,0,1,0,12,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,18,0,14,0,0,0,7,0,1,0,0,0,0,0,0,0,10
6,1991,ROIS,0,0,0,4,3,1,0,0,0,6,0,3,0,3,0,0,0,0,1,0,1,0,0,6,9,0,0,3,0,8,0,0,0,15,8,0,0,2,1,0,0,0,0,13,0,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,28,0,20,0,0,1,8,0,6,0,0,0,0,0,0,0,12
7,1991,ROMF,0,0,0,0,0,2,1,0,0,11,0,3,0,1,2,0,0,0,0,0,0,0,0,7,5,0,0,5,0,7,0,0,2,9,2,0,0,5,0,0,0,0,0,14,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,2,9,1,0,0,15,0,12,0,0,0,11,0,0,2,0,0,0,0,0,0,6
8,1991,ROMS,0,0,0,0,4,3,1,0,0,8,0,2,0,2,1,0,0,0,0,0,1,0,0,5,9,0,0,2,0,5,0,0,0,12,7,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,4,0,0,0,22,0,15,0,0,0,6,0,4,1,0,0,0,0,0,0,13
9,1991,ROWB,0,0,0,1,0,3,0,0,0,4,0,0,1,1,1,0,0,0,0,0,0,1,0,2,4,0,0,1,0,2,0,0,0,3,1,1,0,3,0,0,0,0,0,11,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,10,0,3,0,0,0,9,0,1,0,0,0,0,0,0,0,3
10,1991,ROWP,1,0,0,2,0,2,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,5,0,0,0,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,23,0,16,0,0,0,9,0,0,0,0,0,0,0,0,0,3
11,1991,SRS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1991,SRS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1991,STDP,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,9,0,0,0,4,0,0,0,0,0,0,0,0,0,5
14,1991,TMSL,0,0,0,3,0,0,2,0,0,3,1,4,0,0,1,0,3,0,3,0,1,1,0,7,11,0,0,0,0,3,0,0,1,3,0,0,1,2,0,3,0,0,0,10,0,0,0,0,1,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,11,0,0,1,3,0,0,0,0,0,0,0,0,0,2
15,1991,WPWC,0,0,0,0,0,1,0,0,0,5,0,2,0,1,1,0,2,0,0,1,1,5,0,1,8,0,1,0,0,2,0,0,5,3,0,0,3,2,0,2,0,0,0,21,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16,2016,BGGR,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,6,0,0,0,0,3,0,0,3,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,15
17,2016,DCJS,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,18,0,0,1,0,0,0,0,2,0,0,3,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,4
18,2016,DCSD,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,4,0,0,0,0,0,0,0,2,0,0,1,0,0,0,7,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
19,2016,IDSS,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,4,0,0,0,0,3,0,0,1,0,1,0,11,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1
20,2016,RARO,0,0,0,0,0,0,0,0,1,3,0,0,1,1,1,0,0,0,0,0,0,0,0,1,10,0,0,1,0,5,0,1,4,6,2,2,4,3,0,5,0,0,0,8,3,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,1,6,0,0,1,12,0,1,0,0,1,5,0,2,1,0,0,0,0,0,2,28
