sampling_year_yyyy,site_size_ha,site_code_abcd,site_name,species_richness
1991,7.9,ROMS,Red Oak - Sugar Maple Savannah,25
1991,8.9,ROWB,Red Oak - White Birch Savannah,25
1991,9.2,ROIS,Red Oak - Ironwood Savannah,27
1991,10.2,DCSD,Dry Cottonwood Sand Dune,7
1991,10.9,IDSS,Intergrading Dune - Swale Savannah,10
1991,11,TMSL,Tamarack Slough,28
1991,11.3,DCJS,Dry Cottonwood - Juniper Savannah,10
1991,11.4,ROWP,Red Oak - White Pine Savannah,20
1991,12.5,ROMF,Red Oak - Sugar Maple Forest,25
1991,12.8,WPWC,White Pine - White Cedar Savannah,24
1991,13.1,RARO,Red Ash - Red Oak Savannah,26
1991,13.6,SRS1,Sedge - Rush Swale #1,5
1991,13.7,BGGR,Bluegrass - Milkweed Grassland,12
1991,14.6,SRS2,Sedge - Rush Swale #2,6
1991,15,STDP,Sedge - Tamarack Dune Pond,10
1992,9.2,ROIS,Red Oak - Ironwood Savannah,25
1992,10.2,DCSD,Dry Cottonwood Sand Dune,10
1992,11,TMSL,Tamarack Slough,33
1992,13.1,RARO,Red Ash - Red Oak Savannah,23
1993,10.9,IDSS,Intergrading Dune - Swale Savannah,12
1993,12.8,WPWC,White Pine - White Cedar Savannah,38
1993,13.6,SRS1,Sedge - Rush Swale #1,4
1993,14.6,SRS2,Sedge - Rush Swale #2,4
1993,15,STDP,Sedge - Tamarack Dune Pond,12
1994,7.9,ROMS,Red Oak - Sugar Maple Savannah,27
1994,8.9,ROWB,Red Oak - White Birch Savannah,28
1994,11.4,ROWP,Red Oak - White Pine Savannah,18
1994,12.5,ROMF,Red Oak - Sugar Maple Forest,26
1995,10.9,IDSS,Intergrading Dune - Swale Savannah,13
1995,11.3,DCJS,Dry Cottonwood - Juniper Savannah,10
1995,12.8,WPWC,White Pine - White Cedar Savannah,28
1995,13.7,BGGR,Bluegrass - Milkweed Grassland,11
1996,9.2,ROIS,Red Oak - Ironwood Savannah,23
1996,10.2,DCSD,Dry Cottonwood Sand Dune,6
1996,11,TMSL,Tamarack Slough,31
1996,13.1,RARO,Red Ash - Red Oak Savannah,30
1997,8.9,ROWB,Red Oak - White Birch Savannah,31
1997,10.9,IDSS,Intergrading Dune - Swale Savannah,13
1997,11.4,ROWP,Red Oak - White Pine Savannah,20
1997,13.6,SRS1,Sedge - Rush Swale #1,5
1997,14.6,SRS2,Sedge - Rush Swale #2,4
1998,7.9,ROMS,Red Oak - Sugar Maple Savannah,25
1998,12.8,WPWC,White Pine - White Cedar Savannah,24
1998,13.7,BGGR,Bluegrass - Milkweed Grassland,15
1998,15,STDP,Sedge - Tamarack Dune Pond,11
1999,7.9,ROMS,Red Oak - Sugar Maple Savannah,22
1999,11.3,DCJS,Dry Cottonwood - Juniper Savannah,10
1999,12.5,ROMF,Red Oak - Sugar Maple Forest,27
1999,13.1,RARO,Red Ash - Red Oak Savannah,25
2000,9.2,ROIS,Red Oak - Ironwood Savannah,29
2000,11,TMSL,Tamarack Slough,29
2000,11.3,DCJS,Dry Cottonwood - Juniper Savannah,9
2000,12.5,ROMF,Red Oak - Sugar Maple Forest,35
2001,9.2,ROIS,Red Oak - Ironwood Savannah,27
2001,10.2,DCSD,Dry Cottonwood Sand Dune,6
2001,11,TMSL,Tamarack Slough,32
2001,13.1,RARO,Red Ash - Red Oak Savannah,22
2002,8.9,ROWB,Red Oak - White Birch Savannah,27
2002,11.4,ROWP,Red Oak - White Pine Savannah,22
2002,12.8,WPWC,White Pine - White Cedar Savannah,25
2002,13.6,SRS1,Sedge - Rush Swale #1,4
2002,14.6,SRS2,Sedge - Rush Swale #2,5
2003,10.9,IDSS,Intergrading Dune - Swale Savannah,16
2003,12.8,WPWC,White Pine - White Cedar Savannah,26
2003,13.7,BGGR,Bluegrass - Milkweed Grassland,16
2003,15,STDP,Sedge - Tamarack Dune Pond,17
2004,7.9,ROMS,Red Oak - Sugar Maple Savannah,32
2004,10.9,IDSS,Intergrading Dune - Swale Savannah,12
2004,11.3,DCJS,Dry Cottonwood - Juniper Savannah,15
2004,12.5,ROMF,Red Oak - Sugar Maple Forest,39
2005,7.9,ROMS,Red Oak - Sugar Maple Savannah,31
2005,9.2,ROIS,Red Oak - Ironwood Savannah,30
2005,11,TMSL,Tamarack Slough,34
2006,10.9,IDSS,Intergrading Dune - Swale Savannah,11
2006,15,STDP,Sedge - Tamarack Dune Pond,25
2007,12.8,WPWC,White Pine - White Cedar Savannah,26
2007,13.6,SRS1,Sedge - Rush Swale #1,10
2007,14.6,SRS2,Sedge - Rush Swale #2,9
2008,8.9,ROWB,Red Oak - White Birch Savannah,28
2008,10.2,DCSD,Dry Cottonwood Sand Dune,16
2008,10.9,IDSS,Intergrading Dune - Swale Savannah,17
2008,11.4,ROWP,Red Oak - White Pine Savannah,20
2008,13.1,RARO,Red Ash - Red Oak Savannah,28
2008,13.7,BGGR,Bluegrass - Milkweed Grassland,16
2009,7.9,ROMS,Red Oak - Sugar Maple Savannah,24
2009,9.2,ROIS,Red Oak - Ironwood Savannah,30
2009,11,TMSL,Tamarack Slough,27
2009,11.3,DCJS,Dry Cottonwood - Juniper Savannah,19
2009,12.5,ROMF,Red Oak - Sugar Maple Forest,36
2009,15,STDP,Sedge - Tamarack Dune Pond,18
2010,7.9,ROMS,Red Oak - Sugar Maple Savannah,27
2010,9.2,ROIS,Red Oak - Ironwood Savannah,28
2010,11.3,DCJS,Dry Cottonwood - Juniper Savannah,17
2010,12.5,ROMF,Red Oak - Sugar Maple Forest,33
2010,13.1,RARO,Red Ash - Red Oak Savannah,29
2010,13.6,SRS1,Sedge - Rush Swale #1,8
2010,14.6,SRS2,Sedge - Rush Swale #2,4
2011,10.9,IDSS,Intergrading Dune - Swale Savannah,16
2011,13.7,BGGR,Bluegrass - Milkweed Grassland,13
2011,15,STDP,Sedge - Tamarack Dune Pond,23
2012,10.9,IDSS,Intergrading Dune - Swale Savannah,14
2012,11,TMSL,Tamarack Slough,31
2012,11.3,DCJS,Dry Cottonwood - Juniper Savannah,20
2012,12.8,WPWC,White Pine - White Cedar Savannah,21
2013,8.9,ROWB,Red Oak - White Birch Savannah,28
2013,10.2,DCSD,Dry Cottonwood Sand Dune,14
2013,13.6,SRS1,Sedge - Rush Swale #1,8
2013,14.6,SRS2,Sedge - Rush Swale #2,5
